"","Rk","G","Date","Age","Tm","X","Opp","X.1","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","ID"
"52",52,52,"2014-02-09","25-133","OKC","","NYK","W (+12)",1,"40:08",12,22,0.545,4,7,0.571,13,18,0.722,0,10,10,9,1,2,3,3,41,35.9,10,"Durant"
"50",50,50,"2014-02-05","25-129","OKC","","MIN","W (+9)",1,"36:52",11,20,0.55,3,5,0.6,1,1,1,2,7,9,7,1,0,4,2,26,21,11,"Durant"
"12",12,12,"2013-11-24","25-056","OKC","","UTA","W (+22)",1,"26:21",3,9,0.333,1,1,1,12,13,0.923,0,9,9,2,2,0,3,1,19,16.2,27,"Durant"
"59",59,59,"2014-03-02","25-154","OKC","","CHA","W (+17)",1,"38:11",8,24,0.333,0,6,0,12,12,1,1,5,6,5,0,0,1,2,28,18.3,20,"Durant"
"1",1,1,"2013-10-30","25-031","OKC","@","UTA","W (+3)",1,"39:09",9,24,0.375,2,8,0.25,22,24,0.917,0,6,6,1,3,0,5,1,42,28.1,3,"Durant"
"26",26,26,"2013-12-21","25-083","OKC","@","SAS","W (+13)",1,"38:13",6,14,0.429,2,6,0.333,3,3,1,0,5,5,3,2,1,3,3,17,11.7,1,"Durant"
"5",5,5,"2013-11-08","25-040","OKC","@","DET","W (+9)",1,"44:00",9,15,0.6,2,3,0.667,17,19,0.895,2,6,8,7,3,1,3,3,37,36.9,6,"Durant"
"56",56,56,"2014-02-23","25-147","OKC","","LAC","L (-8)",1,"45:42",15,30,0.5,2,6,0.333,10,12,0.833,0,3,3,10,2,0,5,3,42,29.9,1,"Durant"
"25",25,25,"2013-12-19","25-081","OKC","","CHI","W (+12)",1,"33:18",13,20,0.65,4,5,0.8,2,2,1,0,9,9,6,3,1,1,2,32,32,17,"Durant"
"15",15,15,"2013-12-01","25-063","OKC","","MIN","W (+10)",1,"44:10",14,21,0.667,3,4,0.75,1,2,0.5,2,8,10,12,4,4,2,3,32,38.3,9,"Durant"
"2",2,2,"2013-11-01","25-033","OKC","@","MIN","L (-19)",1,"27:07",4,11,0.364,1,5,0.2,4,5,0.8,0,4,4,1,0,2,4,3,13,4.6,-20,"Durant"
"13",13,13,"2013-11-27","25-059","OKC","","SAS","W (+6)",1,"38:10",10,23,0.435,1,5,0.2,3,3,1,0,13,13,4,0,0,6,1,24,12.2,6,"Durant"
"51",51,51,"2014-02-07","25-131","OKC","@","ORL","L (-1)",1,"40:13",10,22,0.455,2,6,0.333,7,7,1,0,5,5,12,0,1,6,3,29,21,6,"Durant"
"49",49,49,"2014-02-03","25-127","OKC","","MEM","W (+9)",1,"40:11",11,21,0.524,2,7,0.286,7,10,0.7,2,6,8,8,1,1,5,2,31,24.2,12,"Durant"
"44",44,44,"2014-01-25","25-118","OKC","@","PHI","W (+12)",1,"43:59",12,17,0.706,1,4,0.25,7,7,1,1,13,14,10,2,1,3,4,32,34.6,14,"Durant"
"41",41,41,"2014-01-21","29-022","MIA","","BOS","W (+7)",1,"38:48",10,19,0.526,0,4,0,9,11,0.818,1,7,8,4,2,0,3,1,29,23.1,10,"James"
"36",36,36,"2014-01-10","29-011","MIA","@","BRK","L (-9)",1,"49:22",12,21,0.571,2,5,0.4,10,12,0.833,3,4,7,5,0,0,4,6,36,25.7,-1,"James"
"40",40,40,"2014-01-20","29-021","MIA","@","ATL","L (-7)",1,"38:43",11,21,0.524,3,7,0.429,5,8,0.625,1,3,4,6,1,0,3,1,30,21.9,0,"James"
"521",52,52,"2014-02-20","29-052","MIA","@","OKC","W (+22)",1,"33:24",15,22,0.682,1,5,0.2,2,5,0.4,1,6,7,3,4,0,8,1,33,22.6,9,"James"
"28",28,28,"2013-12-25","28-360","MIA","@","LAL","W (+6)",1,"35:48",7,14,0.5,0,4,0,5,9,0.556,0,8,8,4,0,0,2,2,19,12.8,0,"James"
"11",1,1,"2013-10-29","28-303","MIA","","CHI","W (+12)",1,"38:01",5,11,0.455,0,1,0,7,9,0.778,0,6,6,8,1,0,2,0,17,16.9,8,"James"
"30",30,30,"2013-12-30","29-000","MIA","@","DEN","W (+3)",1,"39:44",8,15,0.533,5,9,0.556,5,8,0.625,1,5,6,10,0,1,4,0,26,23.4,4,"James"
"4",4,4,"2013-11-03","28-308","MIA","","WAS","W (+10)",1,"34:41",9,14,0.643,3,5,0.6,4,5,0.8,0,3,3,5,1,0,6,2,25,17,16,"James"
"48",48,48,"2014-02-08","29-040","MIA","@","UTA","L (-5)",1,"39:21",4,13,0.308,1,6,0.167,4,6,0.667,0,7,7,5,0,0,5,2,13,4.5,0,"James"
"35",35,35,"2014-01-09","29-010","MIA","@","NYK","L (-10)",1,"41:25",12,17,0.706,1,4,0.25,7,11,0.636,0,5,5,6,1,1,6,2,32,23.9,1,"James"
"53",5,5,"2013-11-05","28-310","MIA","@","TOR","W (+9)",1,"36:01",13,20,0.65,1,3,0.333,8,8,1,2,6,8,8,0,1,1,2,35,33.9,3,"James"
"21",2,2,"2013-10-30","28-304","MIA","@","PHI","L (-4)",1,"36:38",9,17,0.529,4,7,0.571,3,4,0.75,0,4,4,13,0,0,4,3,25,21.4,-8,"James"
"501",50,50,"2014-02-12","29-044","MIA","@","GSW","W (+1)",1,"42:16",14,26,0.538,4,8,0.5,4,7,0.571,1,12,13,9,2,0,2,1,36,32.4,-2,"James"
"7",7,7,"2013-11-09","28-314","MIA","","BOS","L (-1)",1,"36:32",9,13,0.692,0,0,NA,7,9,0.778,1,7,8,10,0,0,5,1,25,23.1,5,"James"
"32",32,32,"2014-01-04","29-005","MIA","@","ORL","W (+16)",1,"35:55",5,13,0.385,0,1,0,5,8,0.625,1,7,8,8,1,0,3,1,15,12.7,17,"James"
