Serial Number , Host Name     , Wireless Card
29580982310   , wsr-laptop-1  , 645A046C6B4F
12166723622   , wsr-laptop-2  , 645A046C6B49
8417820710    , wsr-laptop-3  , 645A046C7F85
26015157542   , wsr-laptop-4  , 645A046CD033
9749756198    , wsr-laptop-5  , 645A046C9373
13073716262   , wsr-laptop-6  , 645A046C906F
37987460390   , wsr-laptop-7  , 645A046CAF39
7814838566    , wsr-laptop-8  , 645A046C9361
37318973222   , wsr-laptop-9  , 645A046C9401
26075623718   , wsr-laptop-10 , 645A046D69F3
6360291110    , wsr-laptop-11 , 645A046C4C73
30064711718   , wsr-laptop-12 , 645A046D7483
15129566246   , wsr-laptop-13 , 645A045EE1FE
17487747110   , wsr-laptop-14 , 645A046C9067
26438420774   , wsr-laptop-15 , 645A046C8E97
2915398694    , wsr-laptop-16 , 645A046ACEFF
12951104294   , wsr-laptop-17 , 645A046C605F
34418276390   , wsr-laptop-18 , 645A046D69F7
3158943014    , wsr-laptop-19 , 645A046C3093
38892773414   , wsr-laptop-20 , 645A046C68E9

17791757606   , msu-laptop-1  , 645A046C8E8F
9931154726    , msu-laptop-2  , 645A046D7463
11926538534   , msu-laptop-3  , 645A046C9341
28311192614   , msu-laptop-4  , 645A046C9025
6424116518    , msu-laptop-5  , 645A046CD067
26498886950   , msu-laptop-6  , 645A046C8EC3
8599219238    , msu-laptop-7  , 645A045F0BA8
35202657062   , msu-laptop-8  , 645A045F0B8E
18452526310   , msu-laptop-9  , 645A04673594
32906621990   , msu-laptop-10 , 645A046C93C3
12771385382   , msu-laptop-11 , 645A046C68BD
4788170534    , msu-laptop-12 , 645A046A9A27
24742008614   , msu-laptop-13 , 645A046D4489
26194876454   , msu-laptop-14 , 645A046AB269
28250726483   , msu-laptop-15 , 645A045FF624
6607194662    , msu-laptop-16 , 645A046D748D
17366814758   , msu-laptop-17 , 645A045F1AB8
30429188390   , msu-laptop-18 , 645A046CD045
13557445670   , msu-laptop-19 , 645A046C6919


