Group	Style	Place	Obs	S1	S2	S3
I	Act	Bef	3	14	17	17
I	Act	Bef	9	14	10	10
I	Act	Bef	15	16	18	16
I	Act	Bef	21	14	14	10
I	Act	Bef	27	6	7	10
I	Act	Bef	33	10	7	7
I	Act	Bef	39	12	13	6
I	Act	Bef	45	13	15	10
I	Act	Bef	51	12	4	6
I	Act	Bef	57	12	8	10
I	Act	Bef	63	13	14	14
I	Act	Bef	69	9	9	12
II	Pas	Bef	4	4	11	8
II	Pas	Bef	10	4	5	4
II	Pas	Bef	16	9	8	10
II	Pas	Bef	22	8	7	8
II	Pas	Bef	28	15	14	12
II	Pas	Bef	34	8	8	4
II	Pas	Bef	40	9	8	9
II	Pas	Bef	46	13	15	16
II	Pas	Bef	52	13	12	9
II	Pas	Bef	58	12	14	4
II	Pas	Bef	64	12	9	14
II	Pas	Bef	70	10	8	9
III	Pas	Dur	5	11	11	11
III	Pas	Dur	11	8	10	8
III	Pas	Dur	17	8	9	8
III	Pas	Dur	23	7	8	6
III	Pas	Dur	29	14	15	13
III	Pas	Dur	35	9	11	13
III	Pas	Dur	41	7	3	6
III	Pas	Dur	47	8	3	2
III	Pas	Dur	53	12	9	8
III	Pas	Dur	59	10	11	9
III	Pas	Dur	65	6	5	6
III	Pas	Dur	71	3	6	4
IV	Act	Dur	6	12	14	14
IV	Act	Dur	12	22	18	19
IV	Act	Dur	18	9	13	10
IV	Act	Dur	24	14	12	11
IV	Act	Dur	30	20	17	15
IV	Act	Dur	36	15	15	17
IV	Act	Dur	42	9	9	7
IV	Act	Dur	48	10	10	11
IV	Act	Dur	54	11	10	12
IV	Act	Dur	60	11	7	10
IV	Act	Dur	66	15	14	12
IV	Act	Dur	72	6	8	11
