Sex	Hand	Height	Study	Coins	Income
1	1	65	200	.50	60000
0	1	72	30	.35	10000
0	0	62	95	.35	25000
1	1	64	120	0	30000
0	0	63	220	0	38000
0	0	70	30	0	20000
0	0	73	30	1.80	20000
1	0	58	60	.76	38000
1	0	63	120	.35	40000
1	0	63	120	0	48000
1	0	67	150	2.15	30000
1	0	63	180	.75	25000
1	0	66	180	0	60000
1	0	70	180	1.77	37000
1	0	66	120	0	30000
1	0	70	75	0	50000
1	0	68	120	.25	55000
1	0	65	120	1.03	45000
1	0	68	90	.1	15000
1	0	62	170	.17	11000
1	0	62	60	0	30000
1	0	63	120	.90	35000
1	1	64	250	0	50000
1	1	65	300	0	50000
1	0	62	120	.23	32000
1	0	63	120	.35	70000
1	0	65	60	.65	70000
1	0	65	120	0	30000
1	0	66	90	0	36000
1	0	65	180	3.35	65000
1	0	59	180	0	50000
1	0	67	240	0	32000
1	0	66	190	.56	12000
1	0	63	180	.50	60000
1	0	71	120	4.00	25000
1	0	64	480	0	35000
1	0	62	180	0	20000
1	0	60	180	.75	60000
1	0	66	120	.87	35000
0	0	69	120	0	55000
0	0	69	240	0	22000
0	0	70	230	0	22000
0	0	71	120	.75	29000
0	0	71	250	1.00	25000
0	0	73	60	.60	20000
0	0	72	90	.87	40000
0	0	69	150	0	12000
1	0	68	180	.65	35000
1	1	60	100	.20	40000
1	0	66	30000	0	25000
1	0	64	240	0	40000
1	0	64	240	0	30000
1	0	61	180	1.30	20000
0	1	70	120	.35	20000
1	0	66	120	0	35000
0	0	72	120	0	35000
1	0	68	330	.89	45000
0	0	68	145	2.52	110000
1	0	69	120	.03	40000
1	0	64	120	.03	35500
0	0	62	300	0	15500
1	0	53	180	1.07	27000
1	1	68	90	.75	23000
0	1	72	60	0	25000
1	0	68	90	.70	23000
0	0	73	90	.13	30000
1	0	60	240	0	70000
0	0	68	120	.30	30000
0	0	72	150	.46	35000
0	1	70	120	.35	30000
1	0	66	180	.75	11000
1	0	56	150	.83	35000
0	0	76	75	.50	36000
1	0	63	180	1.25	70000
1	0	65	120	.85	20000
0	0	66	200	0	35000
0	0	71	40	0	17000
1	0	66	150	.07	19000
1	0	66	120	2.50	40000
1	0	61	180	.26	25000
0	0	60	120	0	20000
0	0	71	180	0	22200
1	1	66	120	0	20000
1	0	69	180	1.70	30000
0	0	71	60	0	65000
1	0	61	150	.58	45000
0	0	72	30	0	20000
1	0	68	100	.13	37000
1	0	63	360	.43	35000
1	0	62	180	5.00	35000
1	0	58	120	1.08	30000
1	0	62	180	.80	35000
0	0	69	240	1.60	30000
1	0	69	130	0	43000
0	0	72	120	0	30000
0	0	77	120	0	21000
1	0	64	300	0	20000
0	0	68	120	.75	50000
1	0	64	90	0	25000
0	0	71	120	.17	25000
1	0	63	120	1.00	30000
1	0	66	180	.70	60000
1	0	65	150	0	30000
1	0	61	180	0	24000
1	0	65	75	3.00	80000
1	0	66	240	.35	70000
0	0	72	60	.25	25000
1	1	64	180	1.50	50000
0	0	72	60	0	25000
1	1	63	45	1.50	30000
0	0	71	120	.31	30000
0	0	70	0	0	53000
0	0	77	30	2.00	24000
1	0	62	180	.75	35000
1	0	63	180	0	45000
1	0	66	180	.75	50000
1	0	67	150	.50	26000
1	0	66	180	.75	14000
0	0	70	45	.25	24000
1	0	65	120	0	20000
1	0	66	60	.90	33000
1	0	66	120	2.75	25000
0	0	69	60	0	33000
1	1	65	120	0	30000
1	0	67	60	0	20000
1	0	69	120	1.50	55000
1	0	67	200	.38	30000
0	0	66	200	0	35000
0	0	71	90	.35	30000
0	1	73	180	0	32000
1	0	66	90	0	26000
0	0	68	110	.25	35000
1	0	68	120	2.00	30000
0	0	70	120	1.14	21000
1	0	67	120	.55	27000
1	0	67	180	.23	35000
1	0	63	60	.60	22000
1	0	67	45	0	30000
0	0	68	120	1.00	23000
1	0	64	80	.05	15000
1	0	64	140	.45	30000
0	0	72	420	3.00	26000
0	0	76	150	0	20000
1	0	63	120	.65	32000
1	0	60	20	1.00	35000
1	0	63	240	0	32000
1	0	64	120	0	45000
1	0	66	60	.25	60000
1	0	65	30	2.00	29000
0	0	71	0	0	45000
0	0	73	120	.73	18000
1	0	66	150	3.00	30000
0	1	75	120	.75	45000
1	0	58	120	0	60000
0	0	74	100	1.00	18000
1	0	68	120	1.50	35000
1	0	63	150	.50	40000
1	0	68	130	0	43000
1	0	73	120	.50	16000
1	0	69	180	0	50000
1	0	60	180	1.50	20000
1	1	70	120	0	27000
0	0	71	150	0	75000
0	0	70	150	0	20000
1	0	63	120	0	30000
0	0	70	60	.38	36000
1	0	61	120	2.00	30000
1	0	63	240	1.07	75000
0	0	70	30	.30	35000
1	0	68	180	.26	29000
0	0	68	120	0	50000
1	0	69	180	0	18000
1	0	62	180	0	35000
1	0	63	180	0	42000
1	0	65	90	0	17000
0	1	73	20	.15	24000
0	0	72	75	1.00	29000
0	0	75	120	.35	18000
0	0	72	120	.75	36000
1	0	62	240	0	50000
1	0	68	240	.75	30000
1	0	63	120	0	56000
0	0	72	60	.30	21000
1	0	65	60	0	35000
0	0	70	30	0	21000
0	0	72	80	.35	22000
1	0	66	120	0	80000
1	0	66	180	0	30000
1	0	62	240	0	40000
1	0	65	240	1.48	35000
1	0	66	90	4.21	21000
0	0	71	120	.80	100000
1	0	62	120	0	35000
1	0	54	45	0	30000
1	0	65	90	0	35000
1	0	62	180	.75	70000
1	0	68	120	.70	40000
1	0	65	120	0	35000
0	0	70	120	.81	26000
0	1	70	120	0	27000
1	0	66	120	2.00	40000
1	0	65	180	2.89	26000
1	0	67	240	0	18000
1	0	67	180	.75	40000
1	0	65	120	.80	45000
1	1	71	120	0	55000
1	1	66	120	0	80000
0	1	68	90	.40	35000
0	1	73	30	0	28000
0	0	71	90	.65	14000
0	0	68	180	1.55	30000
0	0	70	60	0	14000
0	0	76	120	0	17000
0	0	68	120	0	20000
1	0	67	30	1.89	35000
1	0	66	150	0	57000
1	0	69	240	.20	30000
1	0	62	90	0	25000
1	0	66	90	2.50	42000
1	0	68	115	.25	35000
1	0	67	240	2.45	30000
1	0	68	180	0	30000
1	0	64	150	.97	32000
1	0	62	120	1.25	55000
1	0	62	120	1.00	25000
1	0	67	240	0	20000
1	0	63	120	.75	28000
1	0	62	180	0	60000
1	0	68	180	.45	30000
1	0	63	150	0	20000
0	0	62	120	0	26000
1	0	70	60	.26	35000
1	0	65	150	.25	25000
1	0	66	180	0	52000
0	0	72	120	0	19000
1	0	65	140	0	30000
1	0	71	180	.30	35000
1	0	64	180	0	25000
1	0	60	150	.68	37000
1	0	68	120	1.00	32000
0	0	65	120	0	38000
0	0	70	45	0	25000
1	0	68	180	1.65	34500
0	0	72	120	0	29000
0	0	75	45	.50	53000
1	0	66	120	0	65000
1	0	66	120	.25	30000
1	0	66	180	0	25000
1	0	63	150	0	30000
0	0	70	120	0	39000
1	0	68	120	0	30000
1	0	65	270	0	40000
1	0	62	360	0	45000
1	0	67	180	.25	50000
1	0	58	75	0	53000
0	0	70	90	0	21000
0	0	57	30	.75	19000
1	0	61	60	.50	25000
1	0	66	150	0	20000
1	0	68	240	2.00	30000
1	0	63	120	.50	38000
1	0	69	120	.85	15000
1	0	66	120	0	30000
1	0	66	150	.12	25000
0	0	66	120	0	50000
1	1	66	120	.93	36000
1	0	62	150	.10	20000
1	0	66	120	0	25000
0	0	69	120	.80	25000
1	0	64	180	1.25	25000
