Country	Total	Men	Women
Afghanistan	8	11	4
Albania	11	11	11
Algeria	13	13	13
Andorra	11	11	11	
Anguilla	11	11	11
Argentina	15	14	16
Armenia	11	11	12
Aruba	14	13	14
Australia	20	20	21
Austria	15	15	16
Azerbaijan	11	11	11
Bahrain	15	14	16
Bangladesh	8	8	8
Barbados	13	13	14
Belarus	15	14	15
Belgium	16	16	16
Belize	13	13	13
Benin	7	9	6
Bermuda	13	13	14
Bhutan	10	11	10
Botswana	12	12	12
Brazil	14	14	15
BritVirginIs	17	15	19
Brunei	14	14	14
Bulgaria	14	13	14
Burkina	Faso	5	5	4
Burundi	7	8	7
Cambodia	10	10	9
Cameroon	9	10	8
Canada	17	17	17
CapeVerde	12	11	12
CaymanIslands	13	12	13
Chad	6	7	4
Chile	14	14	14
China	11	11	11
Colombia	12	12	13
Comoros	8	9	7
Congo	9	10	8
CookIslands	10	10	10
CostaRica	12	12	12
Croatia	14	13	14
Cuba	16	15	17
Cyprus	14	13	14
CzechRepublic	15	15	15
Denmark	17	16	17
Djibouti	4	5	4
Dominica	13	13	14
DominicanRep	12	12	13
ElSalvador	12	12	12
EquatGuinea	10	10	9
Eritrea	5	6	4
Estonia	16	15	17
Ethiopia	8	8	7
Fiji	13	13	13
Finland	17	17	18
France	16	16	17
Gambia	7	7	7
Georgia	12	12	13
Germany	16	16	16
Ghana	9	10	9
Greece	17	17	17
Grenada	12	12	12
Guatemala	10	11	10
GuineaBissau	5	7	4
Guinea	8	10	7
Guyana	13	13	14
Honduras	11	11	12
HongKong	14	14	13
Hungary	15	15	16
Iceland	18	17	19
India	10	11	9
Indonesia	11	12	11
Iran	13	13	13
Iraq	10	11	8
Ireland	18	17	18
Israel	15	15	16
Italy	16	16	17
Jamaica	12	11	12
Japan	15	15	15
Jordan	13	13	13
Kazakhstan	15	15	16
Kenya	10	10	9
Kiribati	12	12	13
Korea,	South	17	18	15
Kuwait	13	12	13
Kyrgyzstan	12	12	13
Laos	9	10	8
Latvia	16	14	17
Lebanon	13	13	13
Lesotho	10	10	10
Liberia	10	11	8
Libya	17	16	17
Liechtenstein	15	16	13
Lithuania	16	15	17
Luxembourg	14	13	14
Macao	15	16	14
Macedonia	12	12	12
Madagascar	9	10	9
Malawi	9	10	9
Malaysia	13	12	13
Maldives	12	12	12
Mali	7	8	5
Malta	15	15	15
MarshallIslands	13	13	13
Mauritania	8	8	8
Mauritius	14	14	13
Mexico	13	14	13
Moldova	12	12	13
Mongolia	13	12	14
Montserrat	16	15	16
Morocco	10	11	9
Mozambique	8	9	7
Myanmar	8	8	8	
Namibia	11	11	11
Nauru	8	8	9
Nepal	9	10	8
Netherlands	16	17	16
NetherAntilles	14	14	15
NewZealand	19	19	20
Nicaragua	11	11	11
Niger	4	5	3
Nigeria	8	9	7
Niue	12	12	12
Norway	17	17	18
Oman	12	12	11
Pakistan	7	7	6
Palau	15	14	15
Palestine	14	13	14
Panama	13	13	14
Paraguay	12	12	12
Peru	14	14	14
Philippines	12	11	12
Poland	15	15	16
Portugal	15	15	16
Qatar	13	13	14
Romania	14	14	14
Russia	14	13	14
Rwanda	9	8	9
SaintKittsNevis	12	12	13
SaintLucia	14	13	14
StVincentGren	12	12	12
Samoa	12	12	12
SaoTomePrincipe	10	10	10
Seychelles	15	14	15
SierraLeone	7	8	6
Slovakia	15	14	15
Slovenia	17	16	17
SolomonIslands	8	9	8
SouthAfrica	13	13	13
Spain	16	16	17
Suriname	12	11	13
Swaziland	10	10	10
Sweden	16	15	17
Switzerland	15	15	15
Tajikistan	11	12	10
Thailand	14	13	14
Togo	9	11	7
Tokelau	11	10	11
Tonga	13	13	13
TrinidadTobago	11	11	11
Tunisia	14	13	14
Turkey	11	12	11
TurksCaicosIs	11	11	12
Tuvalu	11	11	11
Uganda	10	11	10
Ukraine	14	14	15
UnitedArabEmir	11	11	12
UnitedKingdom	16	16	17
UnitedStates	16	15	16
Uruguay	15	14	16
Uzbekistan	11	12	11
Vanuatu	10	11	10
Venezuela	12	11	12
VietNam	10	11	10
Yemen	9	11	7
Zambia	7	7	7
Zimbabwe	9	9	9
