County	Gore	Bush	Buchanan	Nader	GOREpct	BUSHpct	BUCHpct
ALACHUA	47300	34062	262	3215	55.753	40.149	0.309
BAKER	2392	5610	73	53	29.429	69.021	0.898
BAY	18850	38637	248	828	32.188	65.975	0.423
BRADFORD	3072	5413	65	84	35.580	62.694	0.753
BREVARD	97318	115185	570	4470	44.735	52.948	0.262
BROWARD	386518	177279	789	7099	67.610	31.010	0.138
CALHOUN	2155	2873	90	39	41.788	55.711	1.745
CHARLOTTE	29641	35419	182	1461	44.437	53.100	0.273
CITRUS	25501	29744	270	1378	44.823	52.281	0.475
CLAY	14630	41745	186	562	25.611	73.079	0.326
COLLIER	29905	60426	122	1400	32.557	65.786	0.133
COLUMBIA	7047	10964	89	258	38.387	59.723	0.485
DADE	328702	289456	561	5355	52.670	46.382	0.090
DESOTO	3322	4256	36	157	42.749	54.768	0.463
DIXIE	1825	2698	29	75	39.442	58.310	0.627
DUVAL	107680	152082	650	2752	40.917	57.790	0.247
ESCAMBIA	40958	73029	504	1729	35.242	62.837	0.434
FLAGLER	13891	12608	83	435	51.416	46.667	0.307
FRANKLIN	2042	2448	33	85	44.314	53.125	0.716
GADSDEN	9565	4750	39	139	65.997	32.774	0.269
GILCHRIST	1910	3300	29	97	35.795	61.844	0.543
GLADES	1420	1840	9	56	42.707	55.338	0.271
GULF	2389	3546	71	86	39.215	58.207	1.165
HAMILTON	1718	2153	24	39	43.671	54.728	0.610
HARDEE	2341	3764	30	75	37.697	60.612	0.483
HENDRY	3239	4743	22	103	39.953	58.505	0.271
HERNANDO	32644	30646	242	1501	50.196	47.124	0.372
HIGHLANDS	14152	20196	99	409	40.601	57.941	0.284
HILLSBOROUGH	166581	176967	836	7348	47.360	50.313	0.238
HOLMES	2154	4985	76	91	29.483	68.232	1.040
INDIANRIVER	19769	28627	105	950	39.977	57.890	0.212
JACKSON	6868	9138	102	138	42.275	56.248	0.628
JEFFERSON	3038	2481	29	76	54.018	44.115	0.516
LAFAYETTE	788	1669	10	26	31.609	66.947	0.401
LAKE	36555	49963	289	1459	41.415	56.605	0.327
LEE	73560	106141	305	3587	40.067	57.813	0.166
LEON	61425	39053	282	1932	59.815	38.029	0.275
LEVY	5403	6860	67	284	42.833	54.384	0.531
LIBERTY	1011	1316	39	19	42.390	55.178	1.635
MADISON	3011	3038	29	54	49.103	49.543	0.473
MANATEE	49169	57948	272	2489	44.749	52.738	0.248
MARION	44648	55135	563	1810	43.706	53.971	0.551
MARTIN	26619	33864	108	1075	43.166	54.915	0.175
MONROE	1483	1059	47	090	48.941	47.683	0.140
NASSAU	6952	16404	90	255	29.332	69.212	0.380
OKALOOSA	16924	52043	267	984	24.102	74.116	0.380
OKEECHOBEE	4588	5058	43	131	46.721	51.507	0.438
ORANGE	140115	134476	446	3881	50.235	48.213	0.160
OSCEOLA	28177	26216	145	732	50.981	47.433	0.262
PALM_BEACH	268945	152846	3407	5564	62.435	35.483	0.791
PASCO	69550	68581	570	3392	48.947	48.265	0.401
PINELLAS	199660	184312	1010	9986	50.551	46.665	0.256
POLK	74977	90101	538	2060	44.715	53.735	0.321
PUTNAM	12091	13439	147	379	46.404	51.577	0.564
STJOHNS	19482	39497	229	1214	32.243	65.369	0.379
STLUCIE	41559	34705	124	1368	53.448	44.633	0.159
SANTA_ROSA	12795	36248	311	723	25.551	72.385	0.621
SARASOTA	72854	83100	305	4066	45.441	51.832	0.190
SEMINOLE	58888	75293	194	1940	43.200	55.235	0.142
SUMTER	9634	12126	114	307	43.434	54.668	0.514
SUWANNEE	4084	8014	108	182	32.967	64.692	0.872
TAYLOR	2647	4051	27	59	39.018	59.714	0.398
UNION	1399	2326	26	29	37.011	61.534	0.688
VOLUSIA	97063	82214	396	2436	53.299	45.145	0.217
WAKULLA	3835	4511	46	149	44.901	52.816	0.539
WALTON	5637	12176	120	265	30.976	66.908	0.659
WASHINGTON	2796	4983	88	93	35.126	62.601	1.106
