Sex	Income	Race	Age	Educ
2	53106	1	55	4
1	89056	1	58	6
2	36651	1	34	6
1	53490	1	37	6
1	35412	1	37	4
2	46338	1	40	4
1	91502	1	41	4
2	5000	1	41	4
1	50000	1	47	3
2	30000	1	41	4
1	38650	1	39	4
2	56400	1	39	3
1	21350	1	60	4
1	42517	1	50	5
2	42308	1	48	5
2	32424	1	61	5
1	70000	1	32	5
2	29000	1	51	4
2	57984	1	26	4
1	179	1	25	5
1	42720	1	46	4
1	43200	1	54	4
1	32000	1	49	5
1	142208	1	64	6
2	17207	1	60	4
2	40050	1	43	6
2	32038	1	46	5
1	6600	1	32	4
2	21500	1	37	4
1	10000	1	43	2
2	8270	1	45	3
1	18000	1	57	3
2	10300	1	44	4
2	42019	1	39	4
1	87029	1	39	4
2	22317	1	57	3
1	61067	1	57	4
1	17001	1	58	5
1	73100	1	37	2
2	20100	1	36	3
1	150846	1	40	4
2	0	1	53	5
1	48588	1	38	3
2	29216	1	34	3
2	43615	1	48	5
1	40025	1	53	3
2	26253	1	54	3
1	41002	1	57	4
2	10000	1	39	3
1	40000	1	37	3
2	0	1	35	3
1	25900	1	41	3
1	86380	1	44	4
1	26840	1	33	3
2	7880	1	29	5
2	10200	1	43	3
1	36200	1	41	2
1	53032	1	35	3
2	43032	1	36	3
1	50025	1	25	2
2	20600	1	55	3
1	22900	1	56	3
1	2000	1	31	3
2	23800	1	31	3
2	15000	1	43	2
2	13623	1	48	5
1	52100	1	49	5
2	11135	1	43	3
1	19456	1	50	3
2	12121	1	36	3
1	75881	1	39	5
1	15323	1	37	3
2	33002	1	37	4
2	21350	1	33	4
1	35753	1	36	4
2	35048	1	36	4
1	35060	1	42	3
2	39000	1	42	4
1	21100	1	46	3
2	14000	1	41	3
1	19000	1	55	5
2	60000	1	28	4
1	97187	1	50	6
2	3030	1	54	5
1	36172	1	53	5
1	34199	1	35	4
2	27942	1	48	5
2	23104	1	43	3
2	25337	1	47	6
2	45058	1	49	3
1	62000	1	47	4
2	50000	1	49	5
1	52605	1	40	6
2	15524	1	40	5
1	29000	1	29	5
2	10509	1	44	5
1	35001	1	45	5
2	33180	1	42	4
1	0	1	41	1
1	18850	1	46	5
1	35008	1	41	4
2	17000	1	50	3
1	87119	1	56	5
2	39185	1	61	6
1	23802	1	37	5
2	39262	1	30	6
2	33050	1	62	4
2	48375	1	53	6
1	48375	1	55	5
2	40216	1	55	4
2	8090	1	64	6
1	144688	1	63	6
1	75100	1	46	6
2	32100	1	45	5
2	32100	1	27	3
2	13687	1	47	5
2	50050	1	37	5
2	11500	1	39	4
1	50002	1	41	4
2	80312	1	56	5
1	26669	1	61	3
1	5000	1	37	3
2	12000	1	33	3
1	23000	1	42	3
2	18000	1	44	4
2	1100	1	32	4
1	101200	1	36	3
1	50100	1	42	4
2	17050	1	40	6
2	14000	1	44	3
1	56000	1	45	3
1	31000	1	30	3
2	24000	1	28	3
1	50000	1	40	6
2	80000	1	40	6
2	71151	4	31	5
2	45200	1	57	5
2	15380	1	37	3
1	37000	1	35	4
2	26562	1	41	3
1	48062	1	40	3
1	28026	1	51	5
2	170934	1	50	6
1	42500	1	44	3
2	36500	1	44	3
1	44000	1	46	3
1	45000	1	44	3
1	20000	1	33	3
2	15000	1	36	3
1	70144	1	32	3
1	35000	1	25	3
2	32075	1	25	4
1	14000	1	30	3
2	43220	1	50	4
2	32500	1	59	4
1	12290	1	25	3
1	18000	1	58	3
2	27000	1	43	2
1	21363	1	58	4
2	2922	1	48	3
1	21672	1	51	3
2	44800	1	54	4
1	32200	1	25	5
2	25200	1	26	5
2	5369	1	53	5
1	101369	1	53	5
2	65000	1	37	5
1	50000	1	44	3
1	5600	1	44	4
2	23916	1	64	5
1	38520	1	32	4
2	35200	1	33	5
1	41400	1	34	6
1	19000	1	41	5
2	34561	1	44	5
1	56734	1	44	3
2	48100	1	59	6
1	130095	1	42	6
2	34453	1	36	4
1	29802	1	25	3
1	24542	1	29	4
2	48097	1	48	5
1	137441	1	51	4
1	28650	1	33	3
1	10000	1	36	3
2	20000	1	34	3
1	52000	1	47	2
2	42000	1	40	3
1	27000	1	59	3
1	31275	1	39	3
2	13775	1	34	3
2	28160	1	55	4
2	26900	1	39	4
1	21850	1	54	3
2	28506	1	49	5
2	27805	1	46	4
2	21000	1	36	4
1	39000	1	36	3
1	80000	1	41	4
2	104370	1	56	4
2	40000	1	28	4
1	45000	1	28	4
1	16525	1	53	3
2	32475	1	53	3
2	56990	1	49	5
1	101619	1	62	3
2	200258	1	56	6
1	-9991	1	56	3
2	64053	1	53	5
1	26000	1	26	4
1	44365	1	46	3
2	23500	1	62	6
1	33025	1	62	3
2	14070	1	48	4
1	38000	1	45	3
1	50000	1	47	4
2	49000	1	49	5
2	56000	1	39	5
1	56200	1	45	6
2	45100	1	39	6
1	39145	1	47	4
1	35050	1	47	4
1	35515	1	38	4
2	36015	1	36	4
2	80005	1	53	6
2	36168	1	37	4
1	81012	1	49	6
2	12007	1	51	6
1	61000	1	30	4
2	1200	1	30	5
2	33000	1	37	3
2	16536	1	49	5
