Country	Total	Men	Women
Afghanistan	28	43	13
Albania	99	99	99
Algeria	75	84	66
Angola	67	83	54
Argentina	98	98	98
Armenia	99	100	99
Aruba	98	98	98
Azerbaijan	99	100	99
Bahrain	89	90	86
Bangladesh	53	59	48
Belarus	100	100	100
Benin	41	53	28
Bhutan	56	67	42
Bolivia	90	95	85
BosniaHerzegovina	97	99	94
Botswana	83	83	83
Brazil	91	90	91
Brunei	95	96	93
Bulgaria	98	99	98
BurkinaFaso	29	37	22
Burundi	59	67	52
Cambodia	76	86	68
Cameroon	68	77	60
CapeVerde	84	89	79
CentralAfricanRepublic	49	65	33
Chad	26	41	13
Chile	97	97	96
China	93	96	90
Colombia	94	94	93
Comoros	75	80	70
Congo	87	92	82
CostaRica	96	96	96
CoteIvoire	49	61	39
Croatia	99	99	98
Cuba	100	100	100
Cyprus	98	99	97
DemocraticRepCongo	67	81	54
DominicanRepublic	89	89	90
Ecuador	93	94	92
Egypt	72	84	61
ElSalvador	85	88	83
EquatorialGuinea	87	93	80
Estonia	100	100	100
Ethiopia	36	50	23
Gabon	86	90	82
Ghana	65	72	58
Greece	97	98	96
Guatemala	73	79	68
GuineaBissau	65	75	54
Guinea	29	43	18
Haiti	62	60	64
Honduras	83	82	84
Hungary	99	99	99
India	66	77	54
Indonesia	91	95	88
Iran	85	90	79
Iraq	74	84	64
Italy	99	99	99
Jamaica	86	81	91
Jordan	93	97	89
Kazakhstan	100	100	99
Kenya	74	78	70
Kuwait	94	95	92
Kyrgyzstan	99	100	99
Laos	73	80	67
Latvia	100	100	100
Lesotho	82	74	90
Liberia	56	60	51
Libya	87	94	78
Lithuania	100	100	100
Macao	93	96	90
Macedonia	97	99	95
Madagascar	71	77	65
Malawi	72	79	65
Malaysia	92	94	90
Maldives	97	97	97
Mali	23	31	16
Malta	92	90	93
Mauritania	56	63	48
Mauritius	87	90	85
Mexico	92	94	91
Moldova	99	100	99
Mongolia	97	97	98
Morocco	56	69	43
Mozambique	44	57	33
Myanmar	90	94	86
Namibia	88	89	87
Nepal	57	70	44
NetherlandsAntilles	96	96	96
Nicaragua	81	80	81
Niger	30	44	16
Nigeria	72	80	64
Oman	84	89	77
Pakistan	55	69	40
Palestine	93	97	89
Panama	93	94	93
PapuaNewGuinea	58	62	53
Paraguay	94	94	93
Peru	90	95	86
Philippines	93	93	94
Poland	99	100	99
Portugal	95	97	93
Qatar	90	90	90
Romania	98	98	97
Russia	100	100	99
Rwanda	65	71	60
Samoa	99	99	98
SaoTomePrincipe	88	93	83
SaudiArabia	85	89	79
Senegal	43	53	32
Seychelles	92	91	92
SierraLeone	38	50	27
Singapore	94	97	92
Slovenia	100	100	100
SouthAfrica	88	89	87
Spain	97	99	96
SriLanka	92	93	90
Sudan	61	71	52
Suriname	90	93	88
Swaziland	80	81	78
Syria	83	90	76
Tajikistan	100	100	100
Tanzania	72	79	66
Thailand	94	96	93
Togo	53	69	38
Tonga	99	99	99
TrinidadTobago	99	99	98
Tunisia	78	86	69
Turkey	89	96	81
Turkmenistan	100	100	99
Uganda	74	82	66
Ukraine	100	100	100
UnitedArabEmirates	90	91	89
Uruguay	98	98	98
Uzbekistan	97	98	96
Vanuatu	78	80	76
Venezuela	93	93	93
Yemen	59	77	40
Zimbabwe	91	94	88
