Field	FieldExp	FieldCtrl	RateExp	RateCtrl
0	0	160	28	36
0	0	109	31	41
0	0	128	27	39
0	0	112	33	42
0	0	88	33	44
0	0	85	38	39
0	0	104	45	39
0	0	91	25	56
0	0	75	28	33
0	0	101	33	20
0	0	67	47	49
0	0	74	23	30
.5	32	64	24	25
.5	48	99	23	13
.5	128	250	47	44
.5	56	115	42	45
.5	40	85	26	57
.5	40	85	46	42
.5	72	147	38	50
.5	53	107	33	36
.5	40	64	28	35
.5	40	83	28	38
.5	56	112	21	43
.5	48	93	27	31
.5	112	221	25	26
.5	64	136	45	48
1	88	91	22	29
1	99	80	42	27
1	72	72	30	34
1	72	69	24	40
1	83	96	20	22
1	67	93	15	28
1	37	61	19	14
1	59	69	31	35
1	51	80	24	26
1	64	72	21	35
1	115	93	17	12
1	59	48	41	30
1	147	107	33	23
1	120	108	21	18
1	77	93	17	11
1	51	45	21	22
1	53	53	36	23
1	14	14	25	33
1.25	161	129	40	39
1.25	104	80	36	28
1.25	112	88	28	43
1.25	112	91	41	27
1.25	72	59	34	41
1.25	155	120	35	36
1.25	104	80	40	29
1.25	104	83	40	32
1.25	152	120	54	43
1.25	128	104	20	24
1.25	144	115	32	25
1.25	152	125	42	56
1.25	152	125	34	34
1.25	152	125	36	31
1.25	136	112	31	33
1.5	112	75	26	39
1.5	128	85	11	60
1.5	80	53	17	33
1.5	96	72	26	34
1.5	104	69	14	16
1.5	112	77	28	63
1.5	144	96	25	36
1.5	112	75	20	66
1.5	104	67	27	49
1.5	104	67	35	33
1.5	144	93	34	24
1.5	104	68	52	56
1.5	152	104	26	36
1.5	88	53	34	32
1.5	144	96	15	20
