Obs	Sex	Lss	IQ	Read	Est
1	F	5.00	145	98	4
2	F	8.00	139	98	5
3	M	6.00	126	90	5
4	F	5.33	122	98	5
5	F	5.60	125	55	4
6	M	9.00	130	95	3
7	M	5.00	96	50	4
8	M	4.66	110	50	4
9	F	4.66	118	75	4
10	F	8.20	118	75	5
11	M	4.66	101	65	4
12	M	7.50	142	68	5
13	F	5.00	134	80	4
14	M	7.00	124	10	4
15	M	6.00	112	67	4
16	M	6.00	109	83	3
17	F	5.33	134	90	4
18	M	6.00	113	90	5
19	M	6.00	81	55	3
20	F	6.00	113	83	4
21	M	6.00	123	65	4
22	F	4.66	94	25	3
23	M	4.50	100	45	3
24	F	6.00	136	97	4
25	M	5.33	109	75	4
26	F	3.60	131	70	4
27	M	4.00	117	23	3
28	M	6.40	110	45	3
29	F	6.00	127	70	2
30	F	6.00	124	85	5
31	M	7.00	106	55	4
32	M	6.00	124	70	4
33	M	8.00	115	82	5
34	M	8.40	133	94	5
35	F	5.00	116	75	4
36	F	6.66	102	80	3
37	F	5.00	127	85	4
38	M	6.50	117	88	5
39	F	5.00	109	70	3
40	M	5.50	137	80	4
41	M	6.66	117	55	4
42	M	6.00	90	65	2
43	F	4.00	103	30	1
44	F	5.50	114	74	5
45	M	5.00	139	80	5
46	M	6.66	101	70	2
47	F	8.33	122	60	4
48	F	6.50	105	45	2
49	F	4.00	97	45	1
50	M	5.50	89	55	4
51	M	5.00	102	30	2
52	F	4.00	108	10	4
53	M	4.66	110	40	1
54	M	5.33	128	65	1
55	M	5.20	114	15	2
56	M	4.00	112	62	2
57	F	3.60	114	98	4
58	M	6.00	102	52	2
59	F	4.60	82	23	1
60	M	5.33	101	35	2
