State	PctSAT
Alabama	9
Alaska	48
Arizona	32
Arkansas	5
California	49
Colorado	24
Connecticut	84
Delaware	72
DistColumbia	78
Florida	65
Georgia	69
Hawaii	61
Idaho	19
Illinois	8
Indiana	62
Iowa	4
Kansas	8
Kentucky	10
Louisiana	7
Maine	100
Maryland	70
Massachusetts	85
Michigan	9
Minnesota	9
Mississippi	4
Missouri	6
Montana	28
Nebraska	6
Nevada	41
NewHampshire	83
NewJersey	82
NewMexico	12
NewYork	89
NorthCarolina	71
NorthDakota	4
Ohio	27
Oklahoma	6
Oregon	54
Pennsylvania	75
RhodeIsland	68
SouthCarolina	62
SouthDakota	3
Tennessee	13
Texas	52
Utah	6
Vermont	67
Virginia	73
Washington	53
WestVirginia	20
Wisconsin	6
Wyoming	8
