Month	Starts
Jan1990	67.9
Feb1990	65.9
Mar1990	83.2
Apr1990	90.0
May1990	92.4
Jun1990	88.9
Jul1990	85.5
Aug1990	75.6
Sep1990	71.9
Oct1990	75.6
Nov1990	54.9
Dec1990	43.1
Jan1991	39.2
Feb1991	46.1
Mar1991	61.4
Apr1991	82.8
May1991	84.5
Jun1991	86.8
Jul1991	87.4
Aug1991	78.7
Sep1991	73.7
Oct1991	80.9
Nov1991	62.6
Dec1991	56.3
Jan1992	58.4
Feb1992	69.2
Mar1992	90.9
Apr1992	93.5
May1992	100.2
Jun1992	102.7
Jul1992	93.2
Aug1992	91.8
Sep1992	91.4
Oct1992	96.1
Nov1992	74.8
Dec1992	67.9
Jan1993	62.8
Feb1993	65.5
Mar1993	84.9
Apr1993	104.4
May1993	109.2
Jun1993	110.1
Jul1993	100.4
Aug1993	108.3
Sep1993	100.6
Oct1993	105.5
Nov1993	90.6
Dec1993	83.3
Jan1994	67.2
Feb1994	70.8
Mar1994	114.6
Apr1994	114.3
May1994	122.3
Jun1994	117.6
Jul1994	110.4
Aug1994	110.1
Sep1994	105.2
Oct1994	101.3
Nov1994	87.8
Dec1994	76.8
Jan1995	63.6
Feb1995	65.3
Mar1995	85.3
Apr1995	93.9
May1995	102.3
Jun1995	100.5
Jul1995	102.0
Aug1995	108.5
Sep1995	97.7
Oct1995	101.5
Nov1995	82.0
Dec1995	73.7
Jan1996	68.9
Feb1996	74.2
Mar1996	96.9
Apr1996	117.9
May1996	111.6
Jun1996	115.0
Jul1996	109.1
Aug1996	115.6
Sep1996	99.3
Oct1996	101.0
Nov1996	82.6
Dec1996	68.9
Jan1997	66.6
Feb1997	75.1
Mar1997	96.1
Apr1997	109.5
May1997	106.2
Jun1997	108.8
Jul1997	107.4
Aug1997	98.8
Sep1997	108.3
Oct1997	99.2
Nov1997	83.7
Dec1997	73.9
Jan1998	72.3
Feb1998	78.9
Mar1998	107.2
Apr1998	117.3
May1998	114.4
Jun1998	128.7
Jul1998	120.5
Aug1998	115.1
Sep1998	112.4
Oct1998	113.5
Nov1998	101.3
Dec1998	89.8
Jan1999	80.4
Feb1999	86.9
Mar1999	119.9
Apr1999	115.5
May1999	126.5
Jun1999	124.8
Jul1999	120.2
Aug1999	117.4
Sep1999	109.6
Oct1999	112.8
Nov1999	100.6
Dec1999	87.9
Jan2000	78.6
Feb2000	87.8
Mar2000	111.8
Apr2000	118.8
May2000	122.6
Jun2000	115.6
Jul2000	105.4
Aug2000	113.6
Sep2000	101.5
Oct2000	108.2
Nov2000	88.8
Dec2000	78.2
Jan2001	83.9
Feb2001	85.6
Mar2001	104.3
Apr2001	122.2
May2001	125.8
Jun2001	125.8
Jul2001	120.5
Aug2001	115.4
Sep2001	105.2
Oct2001	110.3
Nov2001	90.6
Dec2001	83.6
Jan2002	84.7
Feb2002	99.1
Mar2002	109.5
Apr2002	122.2
May2002	133.7
Jun2002	130.1
Jul2002	125.2
Aug2002	111.4
Sep2002	124.0
Oct2002	118.8
Nov2002	102.6
Dec2002	97.2
Jan2003	95.9
Feb2003	88.1
Mar2003	120.1
Apr2003	128.2
May2003	133.7
Jun2003	144.4
Jul2003	142.8
Aug2003	132.2
Sep2003	137.0
Oct2003	141.6
Nov2003	121.0
Dec2003	114.1
Jan2004	99.5
Feb2004	102.1
Mar2004	143.5
Apr2004	149.9
May2004	159.1
Jun2004	146.7
Jul2004	152.5
Aug2004	155.4
Sep2004	132.0
Oct2004	143.4
Nov2004	111.0
Dec2004	115.4
Jan2005	114.3
Feb2005	121.1
Mar2005	133.4
Apr2005	151.5
May2005	170.4
Jun2005	162.8
Jul2005	158.0
Aug2005	158.6
Sep2005	154.0
Oct2005	150.7
Nov2005	133.1
Dec2005	107.9
Jan2006	121.0
Feb2006	123.6
Mar2006	137.7
Apr2006	134.8
May2006	158.0
Jun2006	139.9
Jul2006	133.1
Aug2006	120.0
Sep2006	119.2
Oct2006	104.0
Nov2006	91.7
Dec2006	82.3
Jan2007	75.4
Feb2007	82.9
Mar2007	101.3
Apr2007	111.4
May2007	111.4
Jun2007	110.1
Jul2007	100.1
Aug2007	86.6
Sep2007	78.6
Oct2007	77.4
Nov2007	58.2
Dec2007	52.6
