State	Minutes
Alabama	23.6
Alaska	17.7
Arizona	25.0
Arkansas	20.7
California	26.8
Colorado	23.9
Connecticut	24.1
Delaware	23.6
DistrColumbia	29.2
Florida	25.9
Georgia	27.3
Hawaii	25.5
Idaho	20.1
Illinois	27.9
Indiana	22.3
Iowa	18.2
Kansas	18.5
Kentucky	22.4
Louisiana	25.1
Maine	22.3
Maryland	30.6
Massachusetts	26.6
Michigan	23.4
Minnesota	22.0
Mississippi	24.0
Missouri	22.9
Montana	17.6
Nebraska	17.7
Nevada	24.2
NewHampshire	24.6
NewJersey	29.1
NewMexico	20.9
NewYork	30.9
NorthCarolina	23.4
NorthDakota	15.5
Ohio	22.1
Oklahoma	20.0
Oregon	21.8
Pennsylvania	25.0
RhodeIsland	22.3
SouthCarolina	22.9
SouthDakota	15.9
Tennessee	23.5
Texas	24.6
Utah	20.8
Vermont	21.2
Virginia	26.9
Washington	25.2
WestVirginia	25.6
Wisconsin	20.8
Wyoming	17.9
