Country	Dollars
Argentina	1067
Australia	2874
Austria	2306
Belgium	2828
Canada	2989
Croatia	838
CzechRepublic	1302
Denmark	2762
Estonia	682
Finland	2108
France	2902
Germany	3001
Greece	1997
Hungary	1269
Iceland	3110
Ireland	2496
Israel	1911
Italy	2266
Japan	2244
Korea	1074
Kuwait	567
Lithuania	754
Netherlands	2987
NewZealand	1893
Norway	3809
Oman	419
Poland	745
Portugal	1791
SaudiArabia	578
Singapore	1156
Slovakia	777
Slovenia	1669
SouthAfrica	669
Spain	1853
Sweden	2704
Switzerland	3776
UnitedKingdom	2389
UnitedStates	5711
