State	MDs
Alabama	213
Alaska	222
Arizona	208
Arkansas	203
California	259
Colorado	258
Connecticut	363
Delaware	248
Florida	245
Georgia	220
Hawaii	310
Idaho	169
Illinois	272
Indiana	213
Iowa	187
Kansas	220
Kentucky	230
Louisiana	264
Maine	267
Maryland	411
Massachusetts	450
Michigan	240
Minnesota	281
Mississippi	181
Missouri	239
Montana	221
Nebraska	239
Nevada	186
NewHampshire	260
NewJersey	306
NewMexico	240
NewYork	389
NorthCarolina	253
NorthDakota	242
Ohio	261
Oklahoma	171
Oregon	263
Pennsylvania	294
RhodeIsland	351
SouthCarolina	230
SouthDakota	219
Tennessee	261
Texas	212
Utah	209
Vermont	362
Virginia	270
Washington	265
WestVirginia	229
Wisconsin	254
Wyoming	188
DC	798
