Country	CO2
Algeria	2.6
Argentina	3.6
Australia	18.4
Bangladesh	0.3
Brazil	1.8
Canada	17.0
China	3.9
Colombia	1.3
Congo	0.2
Egypt	2.0
Ethiopia	0.1
France	6.2
Germany	9.9
Ghana	0.3
India	1.1
Indonesia	1.6
Iran	6.0
Iraq	2.9
Italy	7.8
Japan	9.5
Kenya	0.3
Korea,North	3.3
Korea,South	9.3
Malaysia	5.5
Mexico	3.7
Morocco	1.4
Myanmar	0.2
Nepal	0.1
Nigeria	0.4
Pakistan	0.8
Peru	1.0
Philippines	0.9
Poland	7.8
Romania	4.2
Russia	10.8
SaudiArabia	13.8
SouthAfrica	7.0
Spain	7.9
Sudan	0.3
Tanzania	0.1
Thailand	3.3
Turkey	3.0
Ukraine	6.3
UnitedKingdom	8.8
UnitedStates	19.6
Uzbekistan	4.2
Venezuela	5.4
Vietnam	1.0
