Group	Bone
Other	2.4
Other	0.0
Other	0.9
Other	-0.2
Other	1.0
Other	1.7
Other	2.9
Other	-0.6
Other	1.1
Other	-0.1
Other	-0.4
Other	0.3
Other	1.2
Other	-1.6
Other	-0.1
Other	-1.5
Other	0.7
Other	-0.4
Other	2.2
Other	-0.4
Other	-2.2
Other	-0.1
Breast	-4.7
Breast	-2.5
Breast	-4.9
Breast	-2.7
Breast	-0.8
Breast	-5.3
Breast	-8.3
Breast	-2.1
Breast	-6.8
Breast	-4.3
Breast	2.2
Breast	-7.8
Breast	-3.1
Breast	-1.0
Breast	-6.5
Breast	-1.8
Breast	-5.2
Breast	-5.7
Breast	-7.0
Breast	-2.2
Breast	-6.5
Breast	-1.0
Breast	-3.0
Breast	-3.6
Breast	-5.2
Breast	-2.0
Breast	-2.1
Breast	-5.6
Breast	-4.4
Breast	-3.3
Breast	-4.0
Breast	-4.9
Breast	-4.7
Breast	-3.8
Breast	-5.9
Breast	-2.5
Breast	-0.3
Breast	-6.2
Breast	-6.8
Breast	1.7
Breast	0.3
Breast	-2.3
Breast	0.4
Breast	-5.3
Breast	0.2
Breast	-2.2
Breast	-5.1
