Group	Subject	Stand	Lie
Lean	1	511.100	555.500
Lean	2	607.925	450.650
Lean	3	319.212	537.362
Lean	4	584.644	489.269
Lean	5	578.869	514.081
Lean	6	543.388	506.500
Lean	7	677.188	467.700
Lean	8	555.656	567.006
Lean	9	374.831	531.431
Lean	10	504.700	396.962
Obese	11	260.244	521.044
Obese	12	464.756	514.931
Obese	13	367.138	563.300
Obese	14	413.667	532.208
Obese	15	347.375	504.931
Obese	16	416.531	448.856
Obese	17	358.650	460.550
Obese	18	267.344	509.981
Obese	19	410.631	448.706
Obese	20	426.356	412.919
