State	PctSAT	MathSAT
Alabama	9	556
Alaska	48	517
Arizona	32	525
Arkansas	5	566
California	49	516
Colorado	24	565
Connecticut	84	512
Delaware	72	496
DistColumbia	78	462
Florida	65	496
Georgia	69	495
Hawaii	61	506
Idaho	19	539
Illinois	8	611
Indiana	62	507
Iowa	4	613
Kansas	8	590
Kentucky	10	565
Louisiana	7	567
Maine	100	465
Maryland	70	502
Massachusetts	85	522
Michigan	9	579
Minnesota	9	603
Mississippi	4	549
Missouri	6	594
Montana	28	543
Nebraska	6	585
Nevada	41	506
NewHampshire	83	521
NewJersey	82	510
NewMexico	12	546
NewYork	89	505
NorthCarolina	71	509
NorthDakota	4	596
Ohio	27	542
Oklahoma	6	571
Oregon	54	526
Pennsylvania	75	499
RhodeIsland	68	498
SouthCarolina	62	496
SouthDakota	3	602
Tennessee	13	569
Texas	52	507
Utah	6	556
Vermont	67	518
Virginia	73	511
Washington	53	531
WestVirginia	20	507
Wisconsin	6	598
Wyoming	8	571
