Data	DD	Gas
before	24	6.3
before	51	10.9
before	43	8.9
before	33	7.5
before	26	5.3
before	13	4.0
before	4	1.7
before	0	1.2
before	0	1.2
before	1	1.2
before	6	2.1
before	12	3.1
before	30	6.4
before	32	7.2
before	52	11.0
before	30	6.9
after	19	3.2
after	3	2.0
after	3	1.6
after	0	1.0
after	0	0.7
after	0	0.7
after	8	1.6
after	11	3.1
after	27	5.1
after	46	7.7
after	38	7.0
after	34	6.1
after	16	3.0
after	9	2.1
after	2	1.3
after	1	1.0
after	0	1.0
after	2	1.0
after	3	1.2
after	18	3.4
after	32	6.1
after	34	6.5
after	40	7.5
