Country	Dollars	Years	Mort
Argentina	1067	77	16
Australia	2874	82	5
Austria	2306	81	5
Belgium	2828	81	4
Canada	2989	81	5
Croatia	838	77	6
CzechRepublic	1302	78	4
Denmark	2762	78	4
Estonia	682	76	6
Finland	2108	81	3
France	2902	82	4
Germany	3001	80	4
Greece	1997	81	4
Hungary	1269	75	7
Iceland	3110	81	2
Ireland	2496	79	5
Israel	1911	80	5
Italy	2266	81	4
Japan	2244	84	3
Korea	1074	78	5
Kuwait	567	78	10
Lithuania	754	77	8
Netherlands	2987	81	5
NewZealand	1893	80	5
Norway	3809	81	4
Oman	419	72	10
Poland	745	77	7
Portugal	1791	79	4
SaudiArabia	578	72	21
Singapore	1156	79	3
Slovakia	777	77	6
Slovenia	1669	79	4
SouthAfrica	669	60	54
Spain	1853	82	3
Sweden	2704	82	3
Switzerland	3776	82	5
UnitedKingdom	2389	80	5
UnitedStates	5711	79	7
