Country	Govtpct
Afghanistan	24.11
Albania	18.34
Argentina	15.44
Australia	14.15
Austria	14.74
Bahamas	26.71
Barbados	13.75
Belgium	18.40
Belize	34.71
Botswana	29.50
Bulgaria	29.64
BurkinaFaso	19.77
Canada	12.28
Chile	14.95
China	26.76
CongoDemRep	30.93
CostaRica	14.57
Croatia	24.64
Cyprus	20.07
CzechRepublic	28.02
Denmark	21.84
Ecuador	18.61
Eritrea	106.60
Estonia	29.20
Finland	18.52
France	19.27
Gabon	6.31
Georgia	48.56
Germany	14.68
Greece	12.46
Guinea	3.14
Honduras	19.97
HongKong	5.05
Hungary	26.87
Iceland	19.45
Indonesia	18.96
Ireland	12.10
Israel	23.21
Italy	14.32
Japan	15.62
KoreaRepublic	10.28
Lithuania	24.44
Luxembourg	10.37
Macao	11.25
Madagascar	17.13
Malawi	9.77
Maldives	29.47
Mali	11.36
Malta	29.90
Mauritius	11.01
Mexico	11.66
Moldova	21.52
Netherlands	19.76
NewZealand	16.58
Nicaragua	23.39
Niger	24.10
Nigeria	4.26
Norway	17.69
Pakistan	18.27
Philippines	14.43
Poland	14.93
Portugal	24.98
Romania	13.72
SaoTomePrincipe	63.07
Seychelles	34.83
Singapore	8.20
SlovakRepublic	24.31
Slovenia	20.14
Somalia	19.55
SouthAfrica	24.08
Spain	16.69
Swaziland	20.04
Sweden	21.83
Switzerland	8.14
Taiwan	10.69
Togo	25.53
Tunisia	13.24
Turkey	13.64
UnitedKingdom	16.35
UnitedStates	10.54
Uruguay	15.81
Venezuela	16.39
