Crycount	IQ	Resid
10	87	-19.20
20	90	-31.13
17	94	-22.65
12	94	-15.18
12	97	-12.18
16	100	-15.15
19	103	-16.63
12	103	-6.18
9	103	-1.70
23	103	-22.60
13	104	-6.68
14	106	-6.17
16	106	-9.15
27	108	-23.58
18	109	-9.14
10	109	2.80
18	109	-9.14
15	112	-1.66
18	112	-6.14
23	113	-12.60
15	114	0.34
21	114	-8.62
16	118	2.85
9	119	14.30
12	119	9.82
12	120	10.82
19	120	0.37
16	124	8.85
20	132	10.87
15	133	19.34
22	135	10.89
31	135	-2.55
16	136	20.85
17	141	24.35
30	155	18.94
22	157	32.89
33	159	18.47
13	162	51.32
