Obs	Time	Length	Fit	SEFit	Residual	StResid
1	10	0.600	-0.810	0.365	1.410	1.96
2	20	1.800	0.775	0.334	1.025	1.40
3	30	2.900	2.360	0.304	0.540	0.72
4	40	4.000	3.945	0.277	0.055	0.07
5	50	5.000	5.529	0.251	-0.529	-0.69
6	60	6.100	7.114	0.229	-1.014	-1.31
7	70	7.900	8.699	0.211	-0.799	-1.03
8	80	10.100	10.284	0.198	-0.184	-0.24
9	90	10.900	11.869	0.191	-0.969	-1.24
10	100	12.700	13.454	0.191	-0.754	-0.96
11	110	14.400	15.038	0.198	-0.638	-0.82
12	120	16.600	16.623	0.211	-0.023	-0.03
13	130	18.100	18.208	0.229	-0.108	-0.14
14	140	19.900	19.793	0.251	0.107	0.14
15	150	21.000	21.378	0.277	-0.378	-0.50
16	160	23.400	22.963	0.304	0.437	0.59
17	170	24.700	24.547	0.334	0.153	0.21
18	180	27.800	26.132	0.365	1.668	2.32
