Obs	Boats	Kills	Fit	SEFit	Residual	StResid
1	447	13.00	14.37	2.47	-1.37	-0.20
2	460	21.00	16.06	2.38	4.94	0.70
3	481	24.00	18.80	2.25	5.20	0.73
4	498	16.00	21.01	2.14	-5.01	-0.70
5	513	24.00	22.96	2.05	1.04	0.15
6	512	20.00	22.83	2.06	-2.83	-0.40
7	526	15.00	24.65	1.98	-9.65	-1.35
8	559	34.00	28.95	1.80	5.05	0.70
9	585	33.00	32.33	1.67	0.67	0.09
10	614	33.00	36.11	1.55	-3.11	-0.43
11	645	39.00	40.14	1.45	-1.14	-0.16
12	675	43.00	44.05	1.39	-1.05	-0.14
13	711	50.00	48.73	1.36	1.27	0.17
14	719	47.00	49.78	1.36	-2.78	-0.38
15	681	53.00	44.83	1.38	8.17	1.12
16	679	38.00	44.57	1.38	-6.57	-0.90
17	678	35.00	44.44	1.38	-9.44	-1.29
18	696	49.00	46.78	1.36	2.22	0.30
19	713	42.00	48.99	1.36	-6.99	-0.96
20	732	60.00	51.47	1.37	8.53	1.17
21	755	54.00	54.46	1.40	-0.46	-0.06
22	809	66.00	61.49	1.56	4.51	0.62
23	830	82.00	64.22	1.65	17.78	2.45
24	880	78.00	70.73	1.90	7.27	1.01
25	944	81.00	79.06	2.28	1.94	0.27
26	962	95.00	81.41	2.39	13.59	1.93
27	978	73.00	83.49	2.50	-10.49	-1.50
28	983	69.00	84.14	2.53	-15.14	-2.16
29	1010	79.00	87.65	2.71	-8.65	-1.25
30	1024	92.00	89.48	2.81	2.52	0.37
