Trt	Plot	2001	2002	2003	2004	2005
winter	3	136.8358	228.0717	264.1514	254.6453	344.3933
winter	8	151.4154	189.9505	187.7312	233.8155	203.3908
winter	14	136.1536	209.0485	291.1431	253.4506	331.9724
winter	20	121.6323	189.6755	176.2879	228.5882	388.1056
winter	27	124.1459	188.0090	141.7525	158.6675	382.8617
winter	32	125.2986	215.2174	169.9737	212.3232	346.3042
spring	4	338.1301	422.7411	318.4182	517.6650	344.0489
spring	11	291.8597	339.8243	281.683	342.2825	261.8016
spring	18	244.8727	398.7296	288.8433	270.5785	262.7238
spring	22	234.6599	400.6878	382.6673	212.5324	316.9683
spring	25	197.5830	326.9497	326.8877	213.9879	224.1109
spring	35	239.0122	444.1556	293.8502	240.1927	328.2783
control	6	73.42877	148.8907	129.0538	178.9988	237.6596
control	7	110.6306	182.6762	144.6578	205.5165	281.1442
control	17	95.3405	196.8303	172.7772	242.6795	313.7242
control	24	83.0584	186.1953	113.2813	231.7639	258.3631
control	28	30.58861	154.0401	142.1562	134.9847	235.8320
control	33	96.9709	213.2537	117.9808	212.4862	217.5060
