Seconds	Count
20	4611
30	3727
40	3071
50	2587
60	2141
70	1816
80	1577
90	1421
100	1244
110	1167
120	992
130	927
140	833
150	811
160	767
170	658
180	656
190	651
200	582
210	530
220	516
230	483
240	500
250	508
260	478
270	425
280	441
290	388
300	382
310	365
320	349
330	288
340	331
350	298
360	274
370	289
380	253
390	235
400	220
410	216
420	219
430	200
440	170
450	185
460	174
470	163
480	178
490	144
500	147
510	154
520	138
530	140
540	121
550	134
560	105
570	108
580	83
590	104
600	95
610	68
620	85
630	83
640	86
650	71
660	77
670	64
680	58
690	48
700	58
710	57
720	55
730	50
740	54
750	53
760	38
770	35
780	38
790	28
800	34
810	34
820	32
830	30
840	21
850	33
860	19
870	25
880	30
890	22
900	23
910	28
920	28
930	28
940	19
950	13
960	24
970	15
980	13
990	21
1000	23
1010	16
1020	17
1030	19
1040	14
1050	18
1060	10
1070	13
1080	10
1090	11
1100	21
1110	10
1120	10
1130	12
1140	12
1150	11
1160	8
1170	12
1180	13
1190	11
1200	14
1210	11
1220	10
1230	12
1240	8
1250	11
