Year	Fees
1951	1256
1952	1294
1953	1452
1954	1452
1955	1555
1956	1555
1957	1630
1958	1780
1959	1855
1960	2020
1961	*
1962	2210
1963	2340
1964	2440
1965	2495
1966	2705
1967	2875
1968	3130
1969	3320
1970	3800
1971	3850
1972	3970
1973	4170
1974	4438
1975	4882
1976	5286
1977	5640
1978	6092
1979	6698
1980	7500
1981	8525
1982	9545
1983	10500
1984	11300
1985	12100
1986	13154
1987	13942
1988	15005
1989	16800
1990	18125
1991	19425
1992	21180
1993	22430
1994	23540
1995	24660
1996	25830
1997	26840
1998	27780
1999	28750
2000	30450
2001	32130
2002	33400
2003	35370
2004	37440
2005	39500
