Obs	Weight	Length	Width
104	5.9	8.8	1.4
105	32.0	14.7	2.0
106	40.0	16.0	2.4
107	51.5	17.2	2.6
108	70.0	18.5	2.9
109	100.0	19.2	3.3
110	78.0	19.4	3.1
111	80.0	20.2	3.1
112	85.0	20.8	3.0
113	85.0	21.0	2.8
114	110.0	22.5	3.6
115	115.0	22.5	3.3
116	125.0	22.5	3.7
117	130.0	22.8	3.5
118	120.0	23.5	3.4
119	120.0	23.5	3.5
120	130.0	23.5	3.5
121	135.0	23.5	3.5
122	110.0	23.5	4.0
123	130.0	24.0	3.6
124	150.0	24.0	3.6
125	145.0	24.2	3.6
126	150.0	24.5	3.6
127	170.0	25.0	3.7
128	225.0	25.5	3.7
129	145.0	25.5	3.8
130	188.0	26.2	4.2
131	180.0	26.5	3.7
132	197.0	27.0	4.2
133	218.0	28.0	4.1
134	300.0	28.7	5.1
135	260.0	28.9	4.3
136	265.0	28.9	4.3
137	250.0	28.9	4.6
138	250.0	29.4	4.2
139	300.0	30.1	4.6
140	320.0	31.6	4.8
141	514.0	34.0	6.0
142	556.0	36.5	6.4
143	840.0	37.3	7.8
144	685.0	39.0	6.9
145	700.0	38.3	6.7
146	700.0	39.4	6.3
147	690.0	39.3	6.4
148	900.0	41.4	7.5
149	650.0	41.4	6.0
150	820.0	41.3	7.4
151	850.0	42.3	7.1
152	900.0	42.5	7.2
153	1015.0	42.4	7.5
154	820.0	42.5	6.6
155	1100.0	44.6	6.9
156	1000.0	45.2	7.3
157	1100.0	45.5	7.4
158	1000.0	46.0	8.1
159	1000.0	46.6	7.6
