Row	Col	Hgt90	Hgt96	Diam96	Grow96	Hgt97	Diam97	Spread97	Needles97	Deer95	Deer97	Cover95	Fert	Spacing
1	1	*	*	*	*	*	*	*	*	*	*	0	0	15
1	2	14.0	284.0	4.2	96.0	362	6.60	162	66.0	0	1	2	0	15
1	3	17.0	387.0	7.4	110.0	442	9.30	250	77.0	0	0	1	0	15
1	4	*	*	*	*	*	*	*	*	*	*	0	0	15
1	5	24.0	294.0	3.9	70.0	369	7.00	176	72.0	0	0	2	0	15
1	6	22.0	310.0	5.6	84.0	365	6.90	215	76.0	0	0	1	0	15
1	7	18.0	318.0	5.4	96.0	356	7.60	238	74.5	0	0	0	0	15
1	8	32.0	328.0	5.4	88.0	365	7.70	219	60.5	0	0	1	0	15
1	9	*	157.0	1.3	64.0	208	2.00	127	56.0	1	1	2	0	15
1	10	22.0	282.0	4.5	83.0	329	6.10	209	79.5	0	1	2	1	15
1	11	17.0	251.0	3.3	71.0	298	3.90	154	70.5	0	0	1	1	15
1	12	17.0	201.0	3.4	59.0	245	5.00	167	77.0	0	0	0	1	15
1	13	*	262.0	3.5	77.0	317	5.80	180	67.0	0	0	2	1	15
1	14	21.0	210.0	2.5	74.0	275	4.50	190	65.0	0	0	1	1	15
1	15	29.0	265.0	4.7	35.0	333	5.80	140	77.0	0	0	2	1	15
1	16	29.0	327.0	4.9	86.0	366	6.70	180	58.0	0	0	2	1	15
1	17	*	*	*	*	*	*	*	*	*	*	0	1	15
1	18	18.0	167.0	0.9	29.0	199	2.05	84	80.0	1	0	2	1	15
2	1	*	*	*	*	*	*	*	*	*	*	0	0	15
2	2	16.5	298.0	5.0	74.0	336	6.00	163	63.0	0	1	3	0	15
2	3	22.5	327.0	5.7	78.0	367	8.06	200	72.5	0	1	1	0	15
2	4	*	*	*	*	*	*	*	*	*	*	0	0	15
2	5	19.5	271.5	3.7	84.5	331	5.39	182	80.5	0	1	2	0	15
2	6	29.0	337.0	4.9	85.0	371	8.86	200	66.7	0	0	1	0	15
2	7	18.0	230.0	3.0	52.0	301	4.75	170	85.8	1	0	0	0	15
2	8	32.0	238.0	2.7	57.0	313	5.77	175	80.0	1	0	0	0	15
2	9	*	124.0	1.2	40.0	194	2.35	115	70.5	0	0	2	0	15
2	10	18.0	238.0	2.8	50.0	321	5.25	200	89.1	0	0	3	1	15
2	11	18.0	246.0	2.9	86.0	315	4.89	140	75.3	0	0	0	1	15
2	12	18.5	218.0	2.7	58.0	271	4.85	137	83.0	0	0	2	1	15
2	13	22.0	222.0	3.2	68.0	277	5.14	185	75.8	0	0	1	1	15
2	14	25.0	274.0	4.5	70.0	341	7.81	210	70.0	1	0	0	1	15
2	15	18.0	273.0	3.9	83.0	349	6.18	169	71.5	0	1	1	1	15
2	16	18.0	252.0	2.9	71.0	334	4.46	160	62.4	0	0	0	1	15
2	17	18.0	244.0	3.1	66.0	303	6.66	130	70.0	0	0	1	1	15
2	18	26.0	332.0	5.2	70.0	382	7.09	196	63.6	0	0	3	1	15
3	1	*	*	*	*	*	*	*	*	*	*	3	0	15
3	2	24.0	362.0	5.6	110.0	*	*	*	*	*	*	0	0	15
3	3	20.0	178.0	2.0	75.0	267	3.60	162	75.0	1	0	0	0	15
3	4	9.0	174.0	1.9	63.0	248	3.60	145	70.0	0	0	2	0	15
3	5	21.0	314.0	4.3	90.0	385	5.90	254	45.0	0	0	0	0	15
3	6	15.0	261.0	3.8	36.0	320	5.50	168	65.0	0	0	3	0	15
3	7	29.0	257.0	3.1	44.0	325	4.60	169	61.0	1	0	0	0	15
3	8	11.0	226.0	3.5	51.0	278	5.30	171	84.0	0	0	3	0	15
3	9	10.0	296.0	3.9	96.0	349	5.80	217	66.0	0	0	0	0	15
3	10	13.0	336.0	5.3	94.0	392	7.20	274	81.0	1	0	0	1	15
3	11	6.0	307.0	4.7	72.0	352	6.60	255	80.0	0	0	1	1	15
3	12	20.0	136.0	1.5	16.0	158	2.30	90	60.0	0	0	3	1	15
3	13	26.0	262.0	4.0	76.0	327	5.90	228	80.0	0	0	2	1	15
3	14	*	*	*	*	*	*	*	*	*	*	0	1	15
3	15	23.0	368.0	4.8	100.0	400	6.50	215	84.0	1	0	1	1	15
3	16	*	*	*	*	*	*	*	*	*	*	0	1	15
3	17	25.0	219.0	3.1	60.0	279	4.90	147	83.0	0	0	2	1	15
3	18	13.0	247.0	3.8	72.0	312	5.00	190	61.0	1	1	1	1	15
4	1	15.0	249.0	2.6	84.0	333	3.80	174	54.0	1	0	2	0	15
4	2	30.0	266.0	3.6	81.0	327	5.30	209	62.0	0	0	2	0	15
4	3	8.0	324.0	4.7	106.0	386	6.80	202	79.0	1	0	1	0	15
4	4	15.0	215.0	2.2	65.0	310	4.30	181	53.0	0	0	0	0	15
4	5	*	*	*	*	*	*	*	*	*	*	0	0	15
4	6	17.0	300.0	5.2	73.0	361	7.00	221	72.0	1	0	1	0	15
4	7	21.0	333.0	5.4	98.0	388	7.60	281	64.0	1	0	2	0	15
4	8	19.0	324.0	4.2	96.0	380	7.30	223	58.0	1	0	1	0	15
4	9	20.0	278.0	6.0	53.0	353	8.70	258	76.0	1	0	2	0	15
4	10	15.0	282.0	4.1	77.0	340	6.20	191	65.0	1	0	1	1	15
4	11	9.0	151.0	1.4	55.0	212	1.90	98	64.0	1	0	0	1	15
4	12	22.0	310.0	5.3	90.0	373	7.90	271	62.0	1	0	0	1	15
4	13	19.0	239.0	3.6	56.0	293	5.20	211	77.0	1	0	1	1	15
4	14	14.0	250.0	4.1	73.0	333	5.60	178	69.0	1	0	3	1	15
4	15	20.0	278.0	4.4	74.0	333	5.70	195	68.0	1	0	2	1	15
4	16	18.0	250.0	4.7	72.0	322	5.40	182	68.0	0	0	2	1	15
4	17	25.0	347.0	6.2	100.0	418	8.20	300	73.0	1	0	2	1	15
4	18	21.0	247.0	3.3	42.0	323	5.00	169	50.0	1	0	3	1	15
5	1	18.4	186.0	2.0	40.0	243	3.10	94	65.0	0	0	3	0	15
5	2	22.5	381.0	6.3	102.0	423	8.50	270	72.0	0	0	3	0	15
5	3	19.8	284.0	3.4	75.0	361	5.40	156	63.0	0	0	2	0	15
5	4	24.0	224.5	3.0	60.5	283	4.40	130	84.0	1	1	0	0	15
5	5	19.0	280.0	5.9	62.0	343	8.20	196	54.0	0	0	2	0	15
5	6	19.8	307.0	4.7	71.0	403	6.70	173	60.0	0	0	2	0	15
5	7	24.0	317.0	6.3	74.0	400	8.90	246	70.0	0	0	1	0	15
5	8	19.0	271.3	5.3	63.3	353	7.60	172	47.0	1	0	2	0	15
5	9	16.0	236.0	3.0	64.0	320	4.70	148	56.0	0	0	1	0	15
