Group	Corn	Protein	Weight
1	flou	12	206.8
1	flou	12	273.0
1	flou	12	279.0
1	flou	12	249.8
1	flou	12	252.6
1	flou	12	292.0
1	flou	12	256.7
1	flou	12	314.3
1	flou	12	276.7
1	flou	12	313.0
2	flou	16	356.6
2	flou	16	480.1
2	flou	16	425.0
2	flou	16	366.2
2	flou	16	494.6
2	flou	16	489.3
2	flou	16	400.4
2	flou	16	426.9
2	flou	16	473.3
2	flou	16	429.8
3	flou	20	512.3
3	flou	20	437.0
3	flou	20	484.8
3	flou	20	549.5
3	flou	20	510.4
3	flou	20	462.0
3	flou	20	407.7
3	flou	20	401.1
3	flou	20	464.2
3	flou	20	423.1
4	norm	12	171.4
4	norm	12	152.9
4	norm	12	142.4
4	norm	12	220.6
4	norm	12	309.7
4	norm	12	206.4
4	norm	12	231.2
4	norm	12	162.9
4	norm	12	155.4
4	norm	12	200.5
5	norm	16	393.1
5	norm	16	352.8
5	norm	16	324.9
5	norm	16	394.6
5	norm	16	436.1
5	norm	16	387.4
5	norm	16	324.9
5	norm	16	483.4
5	norm	16	397.7
5	norm	16	395.4
6	norm	20	526.8
6	norm	20	514.4
6	norm	20	398.6
6	norm	20	520.8
6	norm	20	507.0
6	norm	20	477.2
6	norm	20	506.5
6	norm	20	475.3
6	norm	20	473.2
6	norm	20	455.5
7	opaq	12	267.4
7	opaq	12	274.9
7	opaq	12	271.8
7	opaq	12	294.6
7	opaq	12	273.2
7	opaq	12	281.3
7	opaq	12	261.4
7	opaq	12	198.0
7	opaq	12	265.0
7	opaq	12	249.7
8	opaq	16	450.3
8	opaq	16	350.0
8	opaq	16	415.3
8	opaq	16	311.0
8	opaq	16	288.6
8	opaq	16	328.3
8	opaq	16	307.2
8	opaq	16	308.5
8	opaq	16	285.1
8	opaq	16	343.2
9	opaq	20	547.5
9	opaq	20	424.2
9	opaq	20	417.7
9	opaq	20	484.9
9	opaq	20	368.6
9	opaq	20	342.1
9	opaq	20	481.4
9	opaq	20	443.5
9	opaq	20	473.6
9	opaq	20	397.0
