Rate	Hybrid	Percent
0.00	NonResistant	0
0.00	NonResistant	0
0.00	NonResistant	0
0.00	NonResistant	0
0.10	NonResistant	30
0.10	NonResistant	30
0.10	NonResistant	20
0.10	NonResistant	30
0.20	NonResistant	40
0.20	NonResistant	20
0.20	NonResistant	20
0.20	NonResistant	20
0.36	NonResistant	60
0.36	NonResistant	30
0.36	NonResistant	20
0.36	NonResistant	30
0.80	NonResistant	60
0.80	NonResistant	50
0.80	NonResistant	40
0.80	NonResistant	30
1.44	NonResistant	99
1.44	NonResistant	90
1.44	NonResistant	95
1.44	NonResistant	95
0.00	Resistant1	0
0.00	Resistant1	0
0.00	Resistant1	0
0.00	Resistant1	0
0.10	Resistant1	0
0.10	Resistant1	0
0.10	Resistant1	0
0.10	Resistant1	0
0.20	Resistant1	0
0.20	Resistant1	0
0.20	Resistant1	0
0.20	Resistant1	0
0.36	Resistant1	0
0.36	Resistant1	0
0.36	Resistant1	0
0.36	Resistant1	0
0.80	Resistant1	0
0.80	Resistant1	0
0.80	Resistant1	0
0.80	Resistant1	0
1.44	Resistant1	0
1.44	Resistant1	0
1.44	Resistant1	0
1.44	Resistant1	20
0.00	Resistant2	0
0.00	Resistant2	0
0.00	Resistant2	0
0.00	Resistant2	0
0.10	Resistant2	10
0.10	Resistant2	0
0.10	Resistant2	0
0.10	Resistant2	0
0.20	Resistant2	0
0.20	Resistant2	20
0.20	Resistant2	30
0.20	Resistant2	20
0.36	Resistant2	20
0.36	Resistant2	30
0.36	Resistant2	40
0.36	Resistant2	30
0.80	Resistant2	20
0.80	Resistant2	30
0.80	Resistant2	30
0.80	Resistant2	20
1.44	Resistant2	50
1.44	Resistant2	40
1.44	Resistant2	20
1.44	Resistant2	30
