Jurisdiction,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Alabama,"4,286","4,028","4,551","6,185","8,120","8,855","10,025","10,715","11,638","12,581","12,365","13,619","15,351","16,443","17,151","18,313","19,179","20,549","21,424","21,974","22,267","21,227","23,040","24,741","25,100","25,916","25,391","23,995","24,094","24,898","25,262","26,358","26,321","26,268","26,230"
Alaska,555,592,632,839,"1,043","1,350","1,698","1,929","2,447","2,118","2,307","2,484","2,362","2,483","2,498","2,703","2,745","2,832","2,968","3,204","2,601","2,529","2,757","3,033","2,991","3,086","3,142","3,433","3,371","3,627","3,547","3,846","3,771","4,528","4,575"
Arizona,"3,212","3,353","3,612","4,807","5,834","6,889","7,845","8,531","9,345","10,948","12,095","13,251","14,261","15,415","16,477","17,811","19,746","21,341","22,493","23,484","25,515","24,594","25,080","26,281","27,394","28,761","28,208","28,545","30,539","29,910","31,086","31,573","34,774","33,492","33,578"
Arkansas,"2,586","2,845","2,805","3,245","3,774","4,128","4,346","4,504","4,689","5,323","5,455","5,777","6,569","7,479","7,709","7,702","8,242","8,364","8,675","8,979","10,042","9,174","9,603","11,489","11,849","12,068","12,577","12,455","12,854","13,275","13,135","13,338","14,192","14,090","14,043"
California,"21,325","22,632","24,569","29,202","34,640","39,373","43,197","50,158","58,830","66,975","76,171","87,297","97,309","101,808","109,496","119,951","125,605","135,133","145,565","155,276","159,563","156,066","156,108","152,690","155,046","158,278","160,950","165,234","169,454","168,412","168,066","166,514","160,651","146,881","132,327"
Colorado,"2,464","2,531","2,616","2,745","3,037","3,242","3,230","3,386","3,775","4,802","5,646","6,431","6,783","8,311","8,460","8,902","9,177","9,508","10,302","10,566","11,578","12,995","14,655","14,888","16,184","16,437","16,836","17,024","17,196","17,788","17,937","17,768","18,254","17,559","16,389"
Connecticut,"3,120","4,536","4,259","4,531","4,891","5,382","5,611","6,010","6,821","6,961","7,516","8,777","10,101","10,573","11,055","13,384","14,246","14,681","15,233","15,558","16,104","16,987","16,671","17,507","18,716","18,023","17,993","17,928","18,902","19,438","18,978","18,053","17,746","17,022","16,347"
Delaware,"1,130","1,343","1,339","1,388","1,745","1,916","1,893","2,192","2,782","2,741","3,045","3,073","3,058","3,308","3,975","4,129","4,451","4,799","5,107","5,432","5,554","6,585","6,572","6,841","6,637","6,630","6,753","6,788","7,021","7,110","6,944","6,581","6,378","6,546","6,730"
District of Columbia,"2,864","2,973","3,145","3,479","4,081","4,344","4,521","6,404","6,597","7,645","8,381","9,218","8,637","8,603","10,243","10,342","10,597","9,277","8,819","7,048","7,008","4,628","3,785",--,--,--,--,--,--,--,--,--,--,--,--
Florida,"20,377","19,232","20,457","23,277","27,565","26,229","26,906","28,172","31,888","31,924","34,327","39,566","43,992","46,449","48,302","53,048","57,168","63,879","63,763","64,626","67,224","65,823","67,407","68,409","71,037","75,264","78,837","80,298","84,027","86,418","90,720","91,561","90,274","89,034","88,134"
Georgia,"11,317","12,106","12,178","12,444","14,405","15,358","15,404","16,262","16,860","18,575","18,787","20,885","22,411","23,743","25,290","27,783","33,425","34,266","35,139","36,505","39,262","39,090","40,486","41,355","42,872","42,619","46,411","43,971","47,717","49,282","47,581","48,409","47,561","47,229","47,278"
Hawaii,629,739,845,"1,032","1,344","1,520","1,734","1,881","2,155","2,099","2,155","2,291","2,390","2,444","2,674","2,814","2,909","2,812","3,309","4,078","3,569","3,486","3,607","3,865","3,722","4,021","3,889","3,837","3,595","3,328","3,347","3,200","3,363","3,687","3,661"
Idaho,803,819,680,924,"1,001","1,127","1,186","1,317","1,438","1,341","1,493","1,641","1,848","2,059","2,164","2,500","2,493","3,079","3,257","3,312","3,459","3,834","3,807","3,922","4,185","4,291","4,495","4,653","4,740","5,086","4,919","5,118","4,999","5,138","4,990"
Illinois,"10,587","11,245","11,497","13,994","13,895","15,437","16,912","18,279","19,345","19,850","21,081","24,712","27,516","29,115","31,640","34,495","36,531","37,658","38,852","40,788","43,051","44,660","45,281","44,348","42,693","43,418","44,054","44,919","45,106","45,215","45,474","45,161","48,418","48,427","49,348"
Indiana,"4,953","5,686","6,709","8,054","8,827","9,360","9,392","10,088","10,224","10,871","11,444","12,353","12,736","13,008","13,945","14,470","15,014","16,125","15,766","16,511","17,605","17,149","17,947","18,731","19,506","20,693","21,343","22,645","23,611","23,454","23,750","24,269","24,456","24,450","23,783"
Iowa,"2,016","2,188","2,479","2,670","2,829","2,814","2,836","2,687","2,763","2,851","3,034","3,584","3,967","4,145","4,518","4,898","5,437","5,906","6,342","6,938","7,394","7,232","7,955","7,962","8,398","8,546","8,525","8,737","8,838","8,692","8,723","8,914","9,457","9,115","8,735"
Kansas,"2,288","2,182","2,454","2,815","3,024","3,623","4,134","4,573","5,300","5,875","5,932","5,628","5,790","5,911","6,033","5,732","6,369","7,055","7,755","7,914","8,180","8,569","8,352","8,476","8,967","9,168","8,991","9,090","8,833","8,721","8,556","8,644","9,055","9,256","9,422"
Kentucky,"3,390","3,691","3,588","3,993","3,915","4,641","4,710","4,956","5,274","5,471","6,187","6,878","8,330","8,933","8,720","8,622","9,097","9,928","10,148","10,875","11,214","11,125","9,765","9,692","9,948","10,020","11,576","12,680","13,082","12,960","13,051","12,493","12,374","11,951","12,186"
Louisiana,"6,101","6,746","7,622","8,577","9,436","10,516","10,685","10,977","14,047","11,504","12,110","13,119","14,106","14,975","16,233","16,078","15,982","16,976","17,664","18,470","18,975","16,094","16,296","16,732","17,081","16,580","16,549","16,419","17,749","17,457","17,929","16,967","16,087","15,893","15,645"
Maine,666,676,653,802,893,947,982,"1,118","1,316","1,258","1,285","1,442","1,541","1,564","1,510","1,437","1,460","1,455","1,476","1,601","1,629","1,639","1,636","1,664","1,847","1,944","1,981","1,950","2,064","2,106","2,047","2,074","1,954","1,978","1,977"
Maryland,"7,572","7,468","7,454","9,264","11,550","12,485","12,991","12,879","13,293","13,291","14,084","16,248","17,567","18,983","19,677","19,992","20,719","21,124","21,729","21,870","22,232","22,598","23,454","23,611","23,987","23,646","23,162","22,424","22,541","23,033","22,955","21,962","22,786","22,923","21,783"
Massachusetts,"2,714","2,771","3,080","3,911","4,376","4,532","4,974","5,453","5,684","6,361","6,862","7,610","8,345","9,415","10,053","10,229","11,396","10,369","10,803","10,918","10,982","10,632","10,335","10,203","9,879","9,828","9,825","10,348","10,773","11,071","11,174","11,156","11,162","11,467","11,127"
Michigan,"14,944","15,002","15,124","15,157","14,913","14,510","14,604","17,755","20,538","23,879","27,612","31,639","34,267","36,423","39,113","39,318","40,631","41,112","42,349","44,771","45,879","46,316","47,269","48,400","50,131","48,878","48,351","49,493","51,515","50,233","48,738","45,478","44,113","42,904","43,594"
Minnesota,"1,837","1,984","1,884","1,909","2,197","2,235","2,331","2,495","2,452","2,706","2,942","3,140","3,215","3,516","3,849","4,060","4,372","4,628","4,804","5,327","5,480","5,601","6,053","6,406","6,855","7,392","7,676","7,958","7,835","8,009","8,419","9,309","9,397","9,309","9,421"
Mississippi,"1,977","2,096","2,745","3,477","4,464","4,580","4,819","5,459","6,698","5,955","6,348","6,752","7,600","8,149","7,873","8,326","9,705","10,124","10,030","10,347","9,943","9,849","11,082","11,497","11,920","12,400","11,615","11,310","11,524","12,684","12,399","11,926","11,213","10,721","11,457"
Missouri,"5,637","5,279","5,726","6,489","7,422","8,026","8,685","9,780","10,235","11,357","12,176","13,921","14,943","15,897","16,189","16,178","17,911","19,151","22,018","23,652","25,064","26,160","27,385","28,575","29,795","29,864","30,682","30,415","30,116","29,823","30,137","30,519","30,577","30,969","31,205"
Montana,647,691,698,737,810,783,826,"1,096","1,108","1,187","1,249","1,308","1,398","1,441","1,466","1,541","1,708","1,601","1,590","1,862","2,340","1,571","1,571","1,708","1,907","1,994","1,808","1,927","1,753","1,585","1,598","1,651","1,635","1,707","1,677"
Nebraska,"1,326","1,224","1,430","1,545","1,721","1,690","1,690","1,886","2,027","2,224","2,161","2,419","2,446","2,591","2,670","2,483","2,701","3,051","3,216","3,348","3,612","3,566","3,810","3,915","4,048","4,073","4,137","4,405","4,399","4,402","4,470","4,490","4,608","4,657","4,721"
Nevada,"1,359","1,662","1,833","2,141","2,675","3,192","3,470","3,794","4,558","4,371","4,902","5,374","5,641","5,842","5,978","6,153","6,884","7,599","8,081","8,623","9,239","8,752","9,280","9,384","9,667","10,584","11,033","11,662","12,754","13,311","12,877","12,570","12,192","12,159","12,594"
New Hampshire,264,308,313,364,445,459,548,643,761,845,983,"1,135","1,357","1,518","1,864","1,899","2,066","2,002","2,037","2,104","2,140","2,247","2,283","2,419","2,475","2,427","2,443","2,423","2,676","2,759","2,854","2,915","2,617","2,423","2,568"
New Jersey,"5,869","5,852","5,881","6,996","8,171","9,142","10,345","11,328","11,991","13,650","14,652","16,017","17,746","19,072","19,117","20,237","21,219","22,808","23,123","25,497","27,310","24,648","24,061","23,432","23,700","23,082","22,925","23,019","22,952","22,668","22,194","21,165","21,647","20,755","20,333"
New Mexico,"1,556","1,539",976,"1,443","1,664","1,936","2,035","2,223","2,394","2,672","2,745","3,001","3,379","3,137","3,290","3,499","3,868","4,209","4,733","3,639","3,440","3,074","3,187","3,184","3,301","3,472","3,717","3,728","3,709","3,709","3,386","3,762","3,754","3,834","3,641"
New York,"20,190","20,895","21,942","25,916","28,501","30,924","33,782","35,346","38,196","40,842","44,560","51,232","54,895","57,862","61,736","64,569","66,750","68,486","69,709","69,383","70,350","71,809","70,490","67,554","66,925","65,388","64,024","63,032","63,538","62,738","60,198","58,479","56,420","55,196","54,058"
North Carolina,"13,350","14,335","15,615","15,786","16,660","15,485","16,469","17,501","17,627","17,404","17,292","17,665","18,619","19,116","20,662","22,098","23,836","27,313","28,756","30,990","30,682","29,683","30,868","32,012","32,732","33,659","35,332","36,436","37,531","38,027","39,740","39,916","40,167","39,632","37,348"
North Dakota,260,249,332,300,351,422,446,443,420,482,525,511,542,551,550,572,612,670,765,823,941,914,927,"1,044","1,094","1,100","1,095","1,271","1,337","1,392","1,379","1,436","1,416","1,385","1,413"
Ohio,"13,107","13,360","13,138","14,796","17,147","17,766","18,332","20,539","22,373","23,943","26,113","30,300","31,501","35,446","37,997","40,253","40,253","44,338","45,968","47,808","48,171","46,619","43,587","42,944","43,357","42,449","42,221","43,114","46,402","47,756","48,751","48,588","48,671","47,957","45,529"
Oklahoma,"4,186","4,250","4,544","4,950","6,054","7,025","6,960","7,108","9,423","8,381","8,921","9,818","10,502","11,107","12,211","12,108","13,386","14,568","15,130","14,893","14,765","14,870","15,006","15,061","15,526","16,666","16,716","16,999","17,165","17,861","17,965","18,064","18,128","17,724","17,947"
Oregon,"2,844","3,255","3,218","3,287","3,867","3,318","3,439","3,714","4,690","4,309","4,703","5,714","6,236","6,603","6,487","6,544","6,915","7,812","8,457","7,774","8,652","9,427","10,139","10,950","11,650","12,207","12,652","12,887","13,191","13,373","13,541","13,735","13,859","13,728","14,123"
Pennsylvania,"7,463","7,442","8,243","9,426","10,572","11,798","13,126","14,267","15,116","16,302","17,929","19,692","21,903","23,405","24,990","26,059","28,285","32,402","34,476","34,929","36,440","36,457","36,784","37,141","39,187","40,344","40,140","41,438","43,009","44,508","47,917","49,565","47,072","48,515","49,009"
Rhode Island,649,718,803,969,"1,048","1,150","1,233","1,322","1,354","1,440","1,918","2,476","2,377","2,783","2,739","2,600","2,937","2,854","3,233","3,310","3,318","2,926","3,425","3,364","3,473","3,576","3,169","3,414","3,713","3,745","3,739","3,413","3,159","3,032","3,042"
South Carolina,"7,360","7,590","7,089","7,672","8,560","8,716","8,894","9,829","11,540","11,070","13,002","14,909","15,621","16,082","16,462","16,933","17,362","18,864","19,860","20,613","20,997","21,016","20,877","21,713","22,875","22,898","22,644","22,442","22,917","23,569","23,673","23,671","22,992","22,343","21,851"
South Dakota,549,574,651,696,794,830,912,"1,044","1,073","1,128","1,030","1,277","1,360","1,391","1,509","1,570","1,734","1,864","2,063","2,239","2,435","2,492","2,547","2,764","2,911","2,994","3,047","3,336","3,304","3,255","3,337","3,377","3,388","3,551","3,582"
