state	year	state.population	prison.population	region
Alabama	1978	NA	4286	South
Alaska	1978	NA	555	West
Arizona	1978	NA	3212	West
Arkansas	1978	NA	2586	South
California	1978	NA	21325	West
Colorado	1978	NA	2464	West
Connecticut	1978	NA	3120	Northeast
Delaware	1978	NA	1130	South
Florida	1978	NA	20377	South
Georgia	1978	NA	11317	South
Hawaii	1978	NA	629	West
Idaho	1978	NA	803	West
Illinois	1978	NA	10587	Midwest
Indiana	1978	NA	4953	Midwest
Iowa	1978	NA	2016	Midwest
Kansas	1978	NA	2288	Midwest
Kentucky	1978	NA	3390	South
Louisiana	1978	NA	6101	South
Maine	1978	NA	666	Northeast
Maryland	1978	NA	7572	South
Massachusetts	1978	NA	2714	Northeast
Michigan	1978	NA	14944	Midwest
Minnesota	1978	NA	1837	Midwest
Mississippi	1978	NA	1977	South
Missouri	1978	NA	5637	Midwest
Montana	1978	NA	647	West
Nebraska	1978	NA	1326	Midwest
Nevada	1978	NA	1359	West
New Hampshire	1978	NA	264	Northeast
New Jersey	1978	NA	5869	Northeast
New Mexico	1978	NA	1556	West
New York	1978	NA	20190	Northeast
North Carolina	1978	NA	13350	South
North Dakota	1978	NA	260	Midwest
Ohio	1978	NA	13107	Midwest
Oklahoma	1978	NA	4186	South
Oregon	1978	NA	2844	West
Pennsylvania	1978	NA	7463	Northeast
Rhode Island	1978	NA	649	Northeast
South Carolina	1978	NA	7360	South
South Dakota	1978	NA	549	Midwest
Tennessee	1978	NA	5850	South
Texas	1978	NA	24575	South
Utah	1978	NA	917	West
Vermont	1978	NA	414	Northeast
Virginia	1978	NA	8051	South
Washington	1978	NA	4528	West
West Virginia	1978	NA	1237	South
Wisconsin	1978	NA	3432	Midwest
Wyoming	1978	NA	432	West
Alabama	1979	NA	4028	South
Alaska	1979	NA	592	West
Arizona	1979	NA	3353	West
Arkansas	1979	NA	2845	South
California	1979	NA	22632	West
Colorado	1979	NA	2531	West
Connecticut	1979	NA	4536	Northeast
Delaware	1979	NA	1343	South
Florida	1979	NA	19232	South
Georgia	1979	NA	12106	South
Hawaii	1979	NA	739	West
Idaho	1979	NA	819	West
Illinois	1979	NA	11245	Midwest
Indiana	1979	NA	5686	Midwest
Iowa	1979	NA	2188	Midwest
Kansas	1979	NA	2182	Midwest
Kentucky	1979	NA	3691	South
Louisiana	1979	NA	6746	South
Maine	1979	NA	676	Northeast
Maryland	1979	NA	7468	South
Massachusetts	1979	NA	2771	Northeast
Michigan	1979	NA	15002	Midwest
