1, United States,716
2, Seychelles ,709
3, Saint Kitts and Nevis ,701
4, U.S. Virgin Islands ,539
5, Cuba ,510
6, Rwanda ,492
7, Anguilla ,487
8, Russia ,484
9, British Virgin Islands ,460
10, El Salvador ,425
11, Bermuda ,417
12, Azerbaijan ,413
13, Belize ,407
14, Grenada ,402
15, Panama ,401
16, Antigua and Barbuda ,395
17, Cayman Islands ,382
18, Thailand ,381
19, Barbados ,377
20, Saint Vincent and the Grenadines ,376
21, Bahamas ,371
22, Sint Maarten ,369
23, Dominica ,356
24, Palau ,348
25, Greenland ,340
26, Belarus ,335
27, Curaçao ,331
28, Guam ,316
29, Costa Rica ,314
29, Lithuania ,314
31, Saint Lucia ,313
32, Maldives ,311
32, Puerto Rico ,311
32, Ukraine ,311
35, Latvia ,297
36, Kazakhstan ,295
37, South Africa ,289
38, Mongolia ,287
39, Iran ,284
39, Swaziland ,284
41, Taiwan ,280
42, Uruguay ,279
43, Bahrain ,275
44, Brazil ,274
45, Chile ,270
46, Cape Verde ,267
46, French Guiana ,267
48, Northern Mariana Islands ,264
49, Guyana ,260
50, Trinidad and Tobago ,259
51, Estonia ,245
52, Colombia ,243
53, American Samoa ,240
54, Gibraltar ,238
54, United Arab Emirates ,238
56, Martinique ,233
57, Singapore ,230
58, Aruba ,228
59, Samoa ,227
60, Georgia ,224
60, Turkmenistan ,224
62, Israel ,223
63, Poland ,222
64, Morocco ,220
65, Montenegro ,214
66, Dominican Republic ,210
67, Mexico ,209
68, Botswana ,205
68, Slovakia ,205
70, Mauritius ,202
70, Peru ,202
72, Tunisia ,199
73, Gabon ,196
74, New Zealand ,193
75, Macau ,191
75, Namibia ,191
75, Suriname ,191
78, Moldova ,185
79, Kyrgyzstan ,181
80, Fiji ,174
81, Hungary ,173
82, Turkey ,171
83, Guernsey ,170
84, Venezuela ,169
85, Albania ,168
86, Jersey ,167
87, Guadeloupe ,164
88, Jamaica ,163
88, New Caledonia ,163
90, Saudi Arabia ,162
91, Honduras ,159
92, Algeria ,156
92, Romania ,156
94, Czech Republic ,154
95, French Polynesia ,153
95, Serbia ,153
97, Uzbekistan ,152
98, Bulgaria ,151
98, Tonga ,151
100, Spain ,149
101,England & Wales England and Wales ,148
102, Argentina ,147
103, Scotland ,146
104, Vietnam ,145
105, Malta ,144
106, Nauru ,139
107, Armenia ,138
108, Kuwait ,137
109, Ethiopia ,136
110, Bhutan ,135
111, Portugal ,134
112, Australia ,130
112, Hong Kong ,130
112, Réunion ,130
112, Tajikistan ,130
116, Zimbabwe ,129
117, São Tomé and Príncipe ,128
118, Isle of Man ,127
119, Malaysia ,126
119, Zambia ,126
121, Luxembourg ,124
122, Macedonia ,122
122, Nicaragua ,122
124, China ,121
124, Kenya ,121
124, Lesotho ,121
127, Myanmar ,120
127, Tuvalu ,120
129, Cameroon ,119
130, Lebanon ,118
131, Brunei ,117
132, Croatia ,115
133, Canada ,114
134, Philippines ,113
135, Bolivia ,112
136, Greece ,111
137, Iraq ,110
138, Cook Islands ,109
139, Italy ,108
140, Cyprus ,106
141, Cambodia ,104
142, Austria ,103
142, Kiribati ,103
144, France ,101
144, Mayotte ,101
146, Belgium ,100
146, Sri Lanka ,100
148, Northern Ireland ,99
149, Paraguay ,97
149, Uganda ,97
151, Angola ,96
152, Equatorial Guinea ,95
152, Haiti ,95
152, Jordan ,95
155, Ireland ,94
156, South Korea ,92
157, Monaco ,88
158, Guatemala ,87
159, Ecuador ,86
160, Madagascar ,85
160, Federated States of Micronesia ,85
162, Djibouti ,83
163, Netherlands ,82
163,  Switzerland ,82
165, Libya ,81
166, Egypt ,80
166, Germany ,80
168, Tanzania ,78
169, Federation of Bosnia and Herzegovina ,77
170, Benin ,75
170, Republika Srpska ,75
172, Afghanistan ,74
172, Vanuatu ,74
174, Malawi ,73
175, Burundi ,72
176, Norway ,71
177, Laos ,69
177, Slovenia ,69
179, Denmark ,68
180, Sweden ,67
181, Kosovo ,66
182, South Sudan ,65
183, Marshall Islands ,64
183, Mozambique ,64
183, Senegal ,64
183, Togo ,64
187, Indonesia ,62
188, Oman ,61
189, Finland ,60
189, Qatar ,60
191, Guinea-Bissau ,58
191, Syria ,58
193, Gambia ,56
193, Sudan ,56
195, Yemen ,55
196, Japan ,54
197, Ghana ,53
198, Solomon Islands ,51
199, Andorra ,49
200, Papua New Guinea ,48
201, Iceland ,47
202, Liberia ,46
203, Mauritania ,45
203,Nepal ,45
205, Bangladesh ,42
205, Niger ,42
205, Sierra Leone ,42
208, Chad ,41
209, Pakistan ,39
210, Liechtenstein ,36
210, Mali ,36
212, Ivory Coast ,34
213, Democratic Republic of the Congo ,33
214, Congo ,31
214, Nigeria ,31
216, India ,30
217, Burkina Faso ,28
218, Guinea ,25
219, Timor-Leste ,22
220, Central African Republic ,19
220, Comoros ,19
222, Faroe Islands ,17
223, San Marino ,6
