country	rate
United States	716
Seychelles 	709
Saint Kitts and Nevis 	701
U.S. Virgin Islands 	539
Cuba 	510
Rwanda 	492
Anguilla 	487
Russia 	484
British Virgin Islands 	460
El Salvador 	425
Bermuda 	417
Azerbaijan 	413
Belize 	407
Grenada 	402
Panama 	401
Antigua and Barbuda 	395
Cayman Islands 	382
Thailand 	381
Barbados 	377
Saint Vincent and the Grenadines 	376
Bahamas 	371
Saint Marten 	369
Dominica 	356
Palau 	348
Greenland 	340
Belarus 	335
Guam 	316
Costa Rica 	314
Lithuania 	314
Saint Lucia 	313
Maldives 	311
Puerto Rico 	311
Ukraine 	311
Latvia 	297
Kazakhstan 	295
South Africa 	289
Mongolia 	287
Iran 	284
Swaziland 	284
Taiwan 	280
Uruguay 	279
Bahrain 	275
Brazil 	274
Chile 	270
Cape Verde 	267
French Guiana 	267
Northern Mariana Islands 	264
Guyana 	260
Trinidad and Tobago 	259
Estonia 	245
Colombia 	243
American Samoa 	240
Gibraltar 	238
United Arab Emirates 	238
Martinique 	233
Singapore 	230
Aruba 	228
Samoa 	227
Georgia 	224
Turkmenistan 	224
Israel 	223
Poland 	222
Morocco 	220
Montenegro 	214
Dominican Republic 	210
Mexico 	209
Botswana 	205
Slovakia 	205
Mauritius 	202
Peru 	202
Tunisia 	199
Gabon 	196
New Zealand 	193
Macau 	191
Namibia 	191
Suriname 	191
Moldova 	185
Kyrgyzstan 	181
Fiji 	174
Hungary 	173
Turkey 	171
Guernsey 	170
Venezuela 	169
Albania 	168
Jersey 	167
Guadeloupe 	164
Jamaica 	163
New Caledonia 	163
Saudi Arabia 	162
Honduras 	159
Algeria 	156
Romania 	156
Czech Republic 	154
French Polynesia 	153
Serbia 	153
Uzbekistan 	152
Bulgaria 	151
Tonga 	151
Spain 	149
England and Wales 	148
Argentina 	147
Scotland 	146
Vietnam 	145
Malta 	144
Nauru 	139
Armenia 	138
Kuwait 	137
Ethiopia 	136
Bhutan 	135
Portugal 	134
Australia 	130
Hong Kong 	130
Tajikistan 	130
Zimbabwe 	129
Isle of Man 	127
Malaysia 	126
Zambia 	126
Luxembourg 	124
Macedonia 	122
Nicaragua 	122
China 	121
Kenya 	121
Lesotho 	121
Myanmar 	120
Tuvalu 	120
Cameroon 	119
Lebanon 	118
Brunei 	117
Croatia 	115
Canada 	114
Philippines 	113
Bolivia 	112
Greece 	111
Iraq 	110
Cook Islands 	109
Italy 	108
Cyprus 	106
Cambodia 	104
Austria 	103
Kiribati 	103
France 	101
Mayotte 	101
Belgium 	100
Sri Lanka 	100
Northern Ireland 	99
Paraguay 	97
Uganda 	97
Angola 	96
Equatorial Guinea 	95
Haiti 	95
Jordan 	95
Ireland 	94
South Korea 	92
Monaco 	88
Guatemala 	87
Ecuador 	86
Madagascar 	85
Federated States of Micronesia 	85
Djibouti 	83
Netherlands 	82
Switzerland 	82
Libya 	81
Egypt 	80
Germany 	80
Tanzania 	78
Federation of Bosnia and Herzegovina 	77
Benin 	75
Republika Srpska 	75
Afghanistan 	74
Vanuatu 	74
Malawi 	73
Burundi 	72
Norway 	71
Laos 	69
Slovenia 	69
Denmark 	68
Sweden 	67
Kosovo 	66
South Sudan 	65
Marshall Islands 	64
Mozambique 	64
Senegal 	64
Togo 	64
Indonesia 	62
Oman 	61
Finland 	60
Qatar 	60
Guinea-Bissau 	58
Syria 	58
Gambia 	56
Sudan 	56
Yemen 	55
Japan 	54
Ghana 	53
Solomon Islands 	51
Andorra 	49
Papua New Guinea 	48
Iceland 	47
Liberia 	46
Mauritania 	45
Nepal 	45
Bangladesh 	42
Niger 	42
Sierra Leone 	42
Chad 	41
Pakistan 	39
Liechtenstein 	36
Mali 	36
Ivory Coast 	34
Democratic Republic of the Congo 	33
Congo 	31
Nigeria 	31
India 	30
Burkina Faso 	28
Guinea 	25
Timor-Leste 	22
Central African Republic 	19
Comoros 	19
Faroe Islands 	17
San Marino 	6
