state	year	state.population	prison.population	state.and.federal.rate	region	sub.region	state.rate
Alabama	1978	NA	4286	144	South	East South Central	NA
Alaska	1978	NA	555	122	West	Pacific	NA
Arizona	1978	NA	3212	137	West	Mountain	NA
Arkansas	1978	NA	2586	115	South	West South Central	NA
California	1978	NA	21325	86	West	Pacific	NA
Colorado	1978	NA	2464	89	West	Mountain	NA
Connecticut	1978	NA	3120	60	Northeast	New England	NA
Delaware	1978	NA	1130	168	South	South Atlantic	NA
Florida	1978	NA	20377	233	South	South Atlantic	NA
Georgia	1978	NA	11317	205	South	South Atlantic	NA
Hawaii	1978	NA	629	52	West	Pacific	NA
Idaho	1978	NA	803	88	West	Mountain	NA
Illinois	1978	NA	10587	94	Midwest	East North Central	NA
Indiana	1978	NA	4953	81	Midwest	East North Central	NA
Iowa	1978	NA	2016	67	Midwest	West North Central	NA
Kansas	1978	NA	2288	100	Midwest	West North Central	NA
Kentucky	1978	NA	3390	94	South	East South Central	NA
Louisiana	1978	NA	6101	179	South	West South Central	NA
Maine	1978	NA	666	52	Northeast	New England	NA
Maryland	1978	NA	7572	189	South	South Atlantic	NA
Massachusetts	1978	NA	2714	48	Northeast	New England	NA
Michigan	1978	NA	14944	162	Midwest	East North Central	NA
Minnesota	1978	NA	1837	49	Midwest	West North Central	NA
Mississippi	1978	NA	1977	106	South	East South Central	NA
Missouri	1978	NA	5637	116	Midwest	West North Central	NA
Montana	1978	NA	647	87	West	Mountain	NA
Nebraska	1978	NA	1326	80	Midwest	West North Central	NA
Nevada	1978	NA	1359	188	West	Mountain	NA
New Hampshire	1978	NA	264	32	Northeast	New England	NA
New Jersey	1978	NA	5869	74	Northeast	Mid Atlantic	NA
New Mexico	1978	NA	1556	120	West	Mountain	NA
New York	1978	NA	20190	115	Northeast	Mid Atlantic	NA
North Carolina	1978	NA	13350	214	South	South Atlantic	NA
North Dakota	1978	NA	260	21	Midwest	West North Central	NA
Ohio	1978	NA	13107	121	Midwest	East North Central	NA
Oklahoma	1978	NA	4186	144	South	West South Central	NA
Oregon	1978	NA	2844	114	West	Pacific	NA
Pennsylvania	1978	NA	7463	65	Northeast	Mid Atlantic	NA
Rhode Island	1978	NA	649	55	Northeast	New England	NA
South Carolina	1978	NA	7360	234	South	South Atlantic	NA
South Dakota	1978	NA	549	73	Midwest	West North Central	NA
Tennessee	1978	NA	5850	131	South	East South Central	NA
Texas	1978	NA	24575	182	South	West South Central	NA
Utah	1978	NA	917	67	West	Mountain	NA
Vermont	1978	NA	414	70	Northeast	New England	NA
Virginia	1978	NA	8051	149	South	South Atlantic	NA
Washington	1978	NA	4528	115	West	Pacific	NA
West Virginia	1978	NA	1237	64	South	South Atlantic	NA
Wisconsin	1978	NA	3432	74	Midwest	East North Central	NA
Wyoming	1978	NA	432	100	West	Mountain	NA
Alabama	1979	NA	4028	141	South	East South Central	NA
Alaska	1979	NA	592	132	West	Pacific	NA
Arizona	1979	NA	3353	142	West	Mountain	NA
Arkansas	1979	NA	2845	131	South	West South Central	NA
California	1979	NA	22632	91	West	Pacific	NA
Colorado	1979	NA	2531	93	West	Mountain	NA
Connecticut	1979	NA	4536	69	Northeast	New England	NA
Delaware	1979	NA	1343	182	South	South Atlantic	NA
Florida	1979	NA	19232	205	South	South Atlantic	NA
Georgia	1979	NA	12106	216	South	South Atlantic	NA
Hawaii	1979	NA	739	57	West	Pacific	NA
Idaho	1979	NA	819	89	West	Mountain	NA
Illinois	1979	NA	11245	99	Midwest	East North Central	NA
Indiana	1979	NA	5686	96	Midwest	East North Central	NA
Iowa	1979	NA	2188	78	Midwest	West North Central	NA
Kansas	1979	NA	2182	98	Midwest	West North Central	NA
Kentucky	1979	NA	3691	101	South	East South Central	NA
Louisiana	1979	NA	6746	184	South	West South Central	NA
Maine	1979	NA	676	57	Northeast	New England	NA
Maryland	1979	NA	7468	186	South	South Atlantic	NA
Massachusetts	1979	NA	2771	50	Northeast	New England	NA
Michigan	1979	NA	15002	162	Midwest	East North Central	NA
Minnesota	1979	NA	1984	52	Midwest	West North Central	NA
Mississippi	1979	NA	2096	137	South	East South Central	NA
Missouri	1979	NA	5279	108	Midwest	West North Central	NA
Montana	1979	NA	691	90	West	Mountain	NA
Nebraska	1979	NA	1224	76	Midwest	West North Central	NA
Nevada	1979	NA	1662	205	West	Mountain	NA
New Hampshire	1979	NA	308	35	Northeast	New England	NA
New Jersey	1979	NA	5852	75	Northeast	Mid Atlantic	NA
New Mexico	1979	NA	1539	114	West	Mountain	NA
New York	1979	NA	20895	118	Northeast	Mid Atlantic	NA
North Carolina	1979	NA	14335	232	South	South Atlantic	NA
North Dakota	1979	NA	249	21	Midwest	West North Central	NA
Ohio	1979	NA	13360	124	Midwest	East North Central	NA
Oklahoma	1979	NA	4250	143	South	West South Central	NA
Oregon	1979	NA	3255	123	West	Pacific	NA
Pennsylvania	1979	NA	7442	65	Northeast	Mid Atlantic	NA
Rhode Island	1979	NA	718	58	Northeast	New England	NA
South Carolina	1979	NA	7590	230	South	South Atlantic	NA
South Dakota	1979	NA	574	78	Midwest	West North Central	NA
Tennessee	1979	NA	6652	146	South	East South Central	NA
Texas	1979	NA	26522	191	South	West South Central	NA
Utah	1979	NA	982	68	West	Mountain	NA
Vermont	1979	NA	405	62	Northeast	New England	NA
Virginia	1979	NA	8114	154	South	South Atlantic	NA
Washington	1979	NA	4466	108	West	Pacific	NA
West Virginia	1979	NA	1251	65	South	South Atlantic	NA
Wisconsin	1979	NA	3677	79	Midwest	East North Central	NA
Wyoming	1979	NA	477	112	West	Mountain	NA
Alabama	1980	3893888	4551	163	South	East South Central	117
Alaska	1980	401851	632	141	West	Pacific	157
Arizona	1980	2718215	3612	159	West	Mountain	133
Arkansas	1980	2286435	2805	127	South	West South Central	123
